id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s13e01_1,regular,lee,1,1,,0,,,0,1
s13e01_2,regular,s4,1,,1,,1,1,,1
s13e01_3,regular,s3,1,0,,0,,,0,0
s13e02_1,regular,s4,1,,0,0,0,,,0
s13e02_2,regular,s2,0,1,,,,1,1,1
s13e02_3,possession,s1,1,1,,,,1,1,1
s13e02_4,regular,david,0,,0,0,1,,,0
s13e03_1,regular,s4,0,1,,,1,0,,1
s13e03_2,regular,s2,0,,0,0,,,0,0
s13e03_3,regular,david,0,,0,0,,,0,0
s13e03_4,regular,s3,1,,0,0,,,0,0
s13e03_5,regular,s1,1,1,,,1,1,,1
s13e04_1,regular,s1,1,0,,,0,0,,0
s13e04_2,regular,s2,1,,1,1,,,1,1
s13e04_3,regular,lee,0,0,,,0,0,,0
s13e04_4,regular,s4,1,1,,,1,1,,1
s13e05_1,regular,s3,1,1,,0,0,,,0
s13e05_2,possession,s1,0,,0,,,-1,1,0
s13e05_3,regular,s4,1,0,,0,0,,,0
s13e06_1,regular,s2,0,,0,0,,,0,0
s13e06_2,regular,s3,1,,1,0,,,0,0
s13e06_3,regular,s2,1,,0,1,,,0,0
s13e06_4,regular,s4,1,1,,,1,1,,1
s13e06_5,regular,s3,0,,1,1,,,1,1
s13e07_1,regular,s1,0,0,,,1,,0,0
s13e07_2,regular,s4,1,,1,1,,1,,1
s13e07_3,regular,s2,1,,0,0,,1,,0
s13e07_4,regular,david,1,,1,1,,1,,1
s13e08_1,regular,s1,1,,0,,0,0,,0
s13e08_2,regular,s2,1,0,,0,,,0,0
s13e08_3,regular,s3,0,1,,1,,,1,1
s13e08_4,regular,lee,0,0,,0,,,0,0
s13e09_1,regular,s2,1,,1,1,,1,,1
s13e09_2,regular,s1,1,0,,,0,,0,0
s13e09_3,regular,david,0,,0,0,,-1,,0
s13e09_4,regular,lee,0,0,,,0,,0,0
s13e09_5,regular,s4,0,,1,1,,1,,1
