id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s07e01_1,regular,s3,1,,1,1,,,1,1
s07e01_2,regular,s4,1,0,,,0,0,,0
s07e01_3,regular,david,1,,1,1,,,1,1
s07e01_4,regular,s1,1,0,,,0,0,,0
s07e02_1,regular,s2,0,,1,1,,,1,1
s07e02_2,regular,s1,1,1,,,1,-1,,1
s07e02_3,regular,s4,1,1,,,1,1,,1
s07e02_4,regular,s3,0,,0,0,,,0,0
s07e02_5,regular,lee,0,0,,,0,0,,0
s07e03_1,regular,s2,1,1,,1,,,1,1
s07e03_2,regular,s4,1,,1,,1,0,,1
s07e03_3,regular,s1,0,,0,,0,0,,0
s07e03_4,regular,lee,0,0,,0,,,-1,0
s07e04_1,possession,s3,1,,,,,,,
s07e04_2,regular,s2,1,,,,,,,
s07e04_3,regular,lee,0,,,,,,,
s07e05_1,regular,s2,0,,,,,,,
s07e05_2,regular,s3,1,,,,,,,
s07e05_3,regular,s1,1,,,,,,,
s07e05_4,regular,david,1,,,,,,,
s07e05_5,possession,s4,0,,,,,,,
s07e06_1,regular,s4,1,1,,1,-1,,,1
s07e06_2,regular,s2,1,,0,,,0,0,0
s07e06_3,possession,s1,0,,0,,,1,0,0
s07e06_4,regular,s3,1,0,,0,0,,,0
s07e07_1,regular,s2,1,,0,,,1,0,0
s07e07_2,regular,s4,1,1,,1,1,,,1
s07e07_3,regular,lee,1,1,,0,1,,,1
s07e07_4,regular,rob,1,0,1,-1,-1,1,1,
s07e08_1,regular,s1,1,,0,,,0,0,0
s07e08_2,regular,s3,1,1,,1,1,,,1
s07e08_3,regular,s4,0,1,,1,0,,,1
s07e08_4,regular,s2,1,,1,,,1,1,1
s07e08_5,regular,lee,1,0,,1,0,,,0
