id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s02e01_1,regular,s3,1,0,,0,,,0,0
s02e01_2,regular,s1,0,,0,,0,0,,0
s02e01_3,regular,s2,0,0,,0,,,0,0
s02e01_4,regular,david,1,,1,,1,1,,1
s02e01_5,regular,s4,1,,0,,0,0,,0
s02e01_6,regular,s2,1,1,,-1,,,-1,1
s02e02_1,regular,s1,0,,0,,0,0,,0
s02e02_2,regular,s2,0,0,,0,,,0,0
s02e02_3,regular,s3,1,1,,1,,,-1,1
s02e02_4,possession,david,0,,0,,1,-1,,0
s02e02_5,regular,s3,0,-1,,-1,,,-1,-1
s02e02_6,possession,lee,0,0,,0,,,0,0
s02e03_1,regular,s2,0,,0,,,1,0,0
s02e03_2,regular,s3,0,0,,0,0,,,0
s02e03_3,regular,s1,1,,0,,,1,1,0
s02e03_4,regular,david,0,,0,,,1,0,0
s02e03_5,regular,lee,1,0,,0,1,,,0
s02e03_6,possession,s1,0,,0,,,1,0,0
s02e04_1,regular,s2,1,,0,0,,,-1,0
s02e04_2,regular,s1,0,0,,,0,0,,0
s02e04_3,regular,s3,0,,0,1,,,1,0
s02e04_4,regular,david,1,,-1,1,,,0,1
s02e04_5,possession,s1,0,0,,,0,0,,0
s02e04_6,regular,s4,0,0,,,-1,-1,,0
s02e05_1,regular,s2,0,0,,,,0,0,0
s02e05_2,regular,s4,1,,1,1,1,,,1
s02e05_3,regular,s1,0,1,,,,1,1,1
s02e05_4,regular,david,0,,0,0,1,,,0
s02e05_5,regular,s3,1,,1,0,1,,,1
s02e05_6,regular,s1,0,1,,,,-1,0,1
s02e06_1,regular,s4,0,,0,0,,0,,0
s02e06_2,regular,s3,0,0,,,0,,0,0
s02e06_3,regular,s1,1,0,,,0,,0,0
s02e06_4,regular,lee,0,0,,,0,,0,0
s02e06_5,possession,s1,0,0,,,0,,1,0
s02e06_6,regular,s4,1,,1,1,,1,,1
s02e06_7,regular,s2,0,,0,0,,1,,0
s02e07_1,regular,s3,1,,1,1,,,1,1
s02e07_2,regular,s4,0,0,,,0,-1,,0
s02e07_3,regular,s2,0,,0,0,,,0,0
s02e07_4,possession,david,1,,0,0,,,0,0
s02e07_5,regular,s1,1,1,,,-1,1,,1
s02e07_6,regular,lee,0,0,,,0,0,,0
s02e07_7,regular,s3,1,,0,0,,,0,0
s02e08_1,regular,s3,0,,0,0,0,,,0
s02e08_2,regular,s1,0,0,,,,0,1,0
s02e08_3,regular,s4,1,,0,0,0,,,0
s02e08_4,regular,lee,0,0,,,,0,1,0
s02e08_5,regular,david,1,,0,1,1,,,1
s02e08_6,regular,s2,1,1,,,,1,-1,1
s02e08_7,possession,s3,0,,1,1,1,,,1
