id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s11e01_1,regular,s3,1,1,,1,1,,,1
s11e01_2,regular,s2,1,,0,,,0,0,0
s11e01_3,regular,s1,1,,1,,,1,1,1
s11e02_1,regular,s2,0,,0,0,,,0,0
s11e02_2,regular,s4,1,0,,,0,1,,0
s11e02_3,possession,lee,0,0,,,0,0,,0
s11e03_1,regular,s1,1,1,,,,0,1,1
s11e03_2,regular,s3,1,,1,0,1,,,1
s11e03_3,regular,david,0,,0,0,0,,,0
s11e04_1,regular,s1,1,,0,,0,0,,0
s11e04_2,regular,s2,1,1,,-1,,,-1,1
s11e04_3,regular,lee,0,0,,0,,,0,0
s11e05_1,regular,s3,1,0,,,0,,0,0
s11e05_2,regular,s2,0,,1,1,,1,,1
s11e05_3,regular,david,0,,0,0,,0,,0
s11e05_4,regular,lee,0,0,,,-1,,-1,0
s11e06_1,regular,s2,0,0,,,,0,0,0
s11e06_2,regular,s4,0,,1,1,1,,,1
s11e06_3,regular,s1,0,0,,,,0,1,0
s11e06_4,regular,lee,0,0,,,,0,0,0
s11e07_1,regular,s1,1,1,,,1,,1,1
s11e07_2,regular,s3,1,1,,,0,,1,1
s11e07_3,regular,lee,0,0,,,-1,,-1,0
s11e08_1,regular,s1,0,,0,,,0,0,0
s11e08_2,possession,s3,1,0,,1,0,,,0
s11e08_3,regular,david,1,,1,,,1,1,1
s11e08_4,regular,s2,0,,0,,,0,0,0
