id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s09e01_1,regular,s2,1,,1,,,1,1,1
s09e01_2,regular,s3,0,0,,1,0,,,0
s09e01_3,possession,s1,1,,0,,,0,0,0
s09e01_4,regular,s4,0,0,,-1,-1,,,0
s09e02_1,regular,s2,0,,-1,0,,1,,0
s09e02_2,regular,s1,1,1,,,1,,1,1
s09e02_3,regular,lee,0,0,,,0,,0,0
s09e02_4,regular,s3,0,0,,,0,,1,0
s09e03_1,regular,s2,1,0,,0,,,0,0
s09e03_2,regular,s1,1,,0,,0,1,,0
s09e03_3,regular,lee,0,0,,0,,,-1,0
s09e04_1,regular,s2,0,0,,0,,0,,0
s09e04_2,regular,s3,0,,0,,1,,1,1
s09e04_3,regular,lee,1,1,,0,,1,,1
s09e04_4,regular,s4,1,1,,1,,1,,1
s09e05_1,regular,s2,0,,0,0,,,0,0
s09e05_2,regular,s3,1,,1,1,,,1,1
s09e05_3,regular,david,0,,0,0,,,0,0
s09e05_4,regular,lee,0,0,,,-1,1,,0
s09e06_1,regular,s4,1,1,,1,1,,,1
s09e06_2,regular,s2,1,,0,,,0,0,0
s09e06_3,regular,lee,0,0,,0,0,,,0
s09e06_4,regular,s4,0,1,,1,1,,,1
s09e07_1,regular,s2,1,0,,0,,,0,0
s09e07_2,regular,s4,1,,0,,0,1,,0
s09e07_3,regular,s1,0,,0,,0,0,,0
s09e07_4,regular,s3,0,0,,0,,,0,0
s09e08_1,regular,s1,0,0,,,,0,0,0
s09e08_2,regular,s2,1,1,,,,1,1,1
s09e08_3,regular,david,0,,1,0,0,,,0
s09e08_4,regular,s3,0,,0,0,0,,,0
