id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s01e01_1,regular,s4,1,0,,1,1,,,0
s01e01_2,regular,s3,1,,1,,,1,1,1
s01e01_3,regular,s3,0,0,,0,0,,,0
s01e01_4,regular,lee,0,0,,0,1,,,0
s01e01_5,regular,david,1,,1,,,1,1,1
s01e01_6,regular,s4,0,0,,0,1,,,0
s01e01_7,regular,s2,1,,1,,,0,1,0
s01e01_8,regular,david,0,,0,,,0,0,0
s01e02_1,regular,s1,1,0,,,1,0,,0
s01e02_2,regular,s2,0,,1,1,,,1,1
s01e02_3,regular,s4,0,0,,,0,0,,0
s01e02_4,regular,s3,1,,0,0,,,0,0
s01e02_5,regular,lee,0,1,,,1,1,,1
s01e02_6,regular,s2,0,,1,0,,,1,1
s01e03_1,regular,s3,1,0,,,0,,1,0
s01e03_2,regular,david,1,,0,1,,0,,0
s01e03_3,regular,s1,0,0,,,0,,0,0
s01e03_4,regular,s2,0,,0,0,,0,,0
s01e03_5,regular,s1,1,1,,,1,,1,1
s01e03_6,regular,s4,0,,1,1,,1,,1
s01e03_7,regular,s2,0,,0,1,,1,,0
s01e04_1,regular,s4,0,1,,,1,1,,1
s01e04_2,regular,s3,0,,0,0,,,0,0
s01e04_3,regular,lee,1,0,,,0,0,,0
s01e04_4,regular,s1,1,0,,,1,0,,0
s01e04_5,regular,david,0,,0,0,,,0,0
s01e04_6,regular,s1,0,0,,,-1,0,,0
s01e05_1,regular,s1,1,0,,,0,,0,0
s01e05_2,regular,david,1,,1,1,,1,,1
s01e05_3,regular,s2,0,,0,0,,0,,0
s01e05_4,regular,s3,0,0,,,1,,-1,0
s01e05_5,regular,s4,1,,1,-1,,-1,,1
s01e05_6,regular,lee,1,1,,,-1,,0,0
s01e05_7,regular,david,0,,0,1,,1,,0
s01e05_8,regular,s1,1,0,,,0,,-1,0
s01e05_9,regular,s3,0,0,,,-1,,-1,0
s01e06_1,regular,s2,1,0,,0,,,1,0
s01e06_2,regular,s1,0,,0,,0,0,,0
s01e06_3,regular,s1,0,,0,,0,0,,0
s01e06_4,regular,s3,0,0,,0,,,1,0
s01e06_5,regular,s4,1,,0,,0,0,,0
