id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s14e01_1,regular,s2,0,,0,0,,0,,0
s14e01_2,regular,s1,1,1,,,1,,1,1
s14e01_3,regular,s4,1,,0,0,,0,,0
s14e01_4,regular,david,0,,0,-1,,-1,,0
s14e01_5,regular,s1,1,0,,,-1,,0,0
s14e02_1,regular,david,1,,0,0,,,0,0
s14e02_2,regular,s1,0,1,,,1,1,,1
s14e02_3,regular,s4,1,1,,,0,0,,0
s14e02_4,regular,lee,1,1,,,-1,-1,,1
s14e03_1,possession,s1,1,1,,,0,0,,0
s14e03_2,regular,s3,1,,0,0,,,0,0
s14e03_3,regular,s4,0,0,,,0,0,,0
s14e03_4,regular,lee,0,0,,,0,0,,0
s14e03_5,regular,s1,0,1,,,1,1,,1
s14e04_1,regular,s3,0,,0,0,,,0,0
s14e04_2,possession,s2,0,,1,1,,,1,1
s14e04_3,regular,s4,1,0,,,0,0,,0
s14e04_4,regular,s1,1,0,,,1,0,,0
s14e04_5,regular,lee,0,0,,,0,0,,0
s14e05_1,regular,s2,1,0,,0,,0,,0
s14e05_2,regular,s1,1,,1,,0,,1,1
s14e05_3,regular,s3,0,,0,,0,,1,0
s14e05_4,regular,david,0,,0,,0,,0,0
s14e06_1,regular,s1,1,1,,,1,1,,1
s14e06_2,possession,s2,1,,0,0,,,0,0
s14e06_3,regular,s4,1,1,,,1,0,,1
s14e06_4,regular,lee,0,1,,,0,1,,1
s14e07_1,regular,s2,0,0,,0,,,0,0
s14e07_2,regular,s4,0,,1,,1,1,,1
s14e07_3,regular,s3,1,1,,1,,,1,1
s14e07_4,regular,lee,0,0,,0,,,0,0
s14e08_1,regular,s1,0,0,,,-1,-1,,0
s14e08_2,regular,s4,0,1,,,0,0,,1
s14e08_3,regular,s2,1,,0,-1,,,0,0
s14e08_4,regular,s3,1,,0,0,,,0,0
s14e08_5,regular,david,0,,1,1,,,1,1
s14e09_1,regular,s2,1,,1,0,,,0,0
s14e09_2,possession,s1,0,1,,,1,1,,1
s14e09_3,regular,s3,1,,1,0,,,1,1
s14e09_4,regular,david,1,,1,0,,,1,1
s14e09_5,regular,s1,0,1,,,1,0,,1
