id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s12e01_1,regular,s2,1,1,,1,,,1,1
s12e01_2,regular,s1,0,,0,,0,1,,0
s12e01_3,regular,s1,0,1,,1,,,1,1
s12e02_1,regular,s4,1,,0,,0,0,,0
s12e02_2,possession,s3,1,0,,0,,,0,0
s12e02_3,regular,s2,0,0,,1,,,0,0
s12e02_4,regular,s1,0,,0,,0,0,,0
s12e03_1,regular,s3,1,1,,1,1,,,1
s12e03_2,possession,s1,0,,0,,,0,0,0
s12e03_3,regular,s2,1,,0,,,1,1,0
s12e03_4,regular,lee,0,0,,0,-1,,,0
s12e04_1,regular,s3,1,0,,0,0,,,0
s12e04_2,regular,s4,1,0,,0,1,,,0
s12e04_3,regular,david,0,,0,,,0,0,0
s12e04_4,possession,s2,1,,1,,,1,1,1
s12e05_1,regular,s3,0,1,,-1,1,,,1
s12e05_2,regular,s2,0,,0,,,0,0,0
s12e05_3,regular,s4,1,1,,1,0,,,1
s12e05_4,possession,s4,0,0,,0,-1,,,0
s12e06_1,regular,s2,0,,1,,,1,1,1
s12e06_2,regular,s4,1,1,,1,1,,,1
s12e06_3,regular,lee,0,0,,0,0,,,0
s12e07_1,regular,s2,1,,1,,,1,0,1
s12e07_2,regular,s1,0,,0,,,1,1,0
s12e07_3,regular,s3,1,1,,1,0,,,1
s12e07_4,regular,s4,0,0,,0,0,,,0
s12e08_1,regular,s1,1,,0,,,0,0,0
s12e08_2,regular,s4,0,0,,0,0,,,0
s12e08_3,regular,s3,1,1,,1,0,,,1
s12e08_4,regular,lee,0,0,,-1,0,,,0
