id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s04e01_1,regular,s3,1,0,,1,0,,,0
s04e01_2,regular,s1,1,,0,,,0,1,0
s04e01_3,regular,s4,0,1,,1,1,,,1
s04e01_4,regular,lee,1,0,,0,0,,,0
s04e01_5,regular,david,0,,0,,,0,0,0
s04e02_1,regular,s1,0,,1,,,1,1,1
s04e02_2,regular,s3,1,1,,1,0,,,1
s04e02_3,regular,s2,1,,1,,,1,1,1
s04e02_4,regular,lee,0,0,,0,0,,,0
s04e02_5,regular,s4,0,0,,0,0,,,0
s04e02_6,regular,rob,1,1,0,1,1,0,0,
s04e03_1,regular,s2,0,,1,,,1,1,1
s04e03_2,regular,s1,1,,1,,,1,1,1
s04e03_3,regular,s3,1,0,,0,0,,,0
s04e03_4,regular,david,1,,0,,,0,0,0
s04e03_5,possession,david,0,0,,0,-1,,,0
s04e04_1,regular,s4,0,0,,0,0,,,0
s04e04_2,regular,s2,1,,0,,,0,0,0
s04e04_3,regular,s3,0,1,,1,1,,,1
s04e04_4,regular,lee,1,0,,-1,-1,,,0
s04e04_5,regular,david,0,,0,,,0,0,0
s04e04_6,regular,rob,0,1,0,1,1,0,0,
s04e05_1,regular,s3,0,1,,0,1,,,1
s04e05_2,regular,s1,1,,1,,,1,-1,1
s04e05_3,regular,s2,1,,1,,,,1,1
s04e05_4,regular,david,0,,0,,,1,0,0
s04e05_5,regular,s1,0,,1,,,1,1,1
s04e06_1,regular,s1,0,0,,,,0,0,0
s04e06_2,regular,s3,0,,1,1,0,,,1
s04e06_3,regular,s4,1,,1,1,1,,,1
s04e06_4,possession,david,0,,0,1,0,,,0
s04e06_5,regular,lee,1,0,,,,1,1,0
s04e07_1,regular,s1,1,,0,,,0,0,0
s04e07_2,regular,s3,0,1,,1,1,,,1
s04e07_3,regular,s4,1,1,,1,1,,,1
s04e07_4,regular,s2,0,,0,,,0,0,0
s04e07_5,regular,david,1,,1,,,1,1,1
s04e07_6,possession,rob,0,0,1,1,0,1,1,
s04e08_1,regular,s3,0,1,,1,1,,,1
s04e08_2,regular,s2,1,,1,,,1,0,1
s04e08_3,regular,s1,1,,0,,,0,0,0
s04e08_4,possession,david,1,,1,,,1,1,1
s04e08_5,regular,lee,0,0,,0,0,,,0
