,speaker,endAt
0,0,83.592
1,1,87.508
2,0,102.792
3,1,103.508
4,0,104.008
5,1,112.008
6,0,112.508
7,1,117.275
8,0,117.508
9,1,128.508
10,0,130.508
11,1,133.508
12,0,133.675
13,1,138.508
14,0,139.008
15,1,142.625
16,0,143.575
17,1,144.508
18,0,145.008
19,1,146.008
20,0,146.508
21,1,151.542
22,0,152.008
23,1,152.508
24,0,154.008
25,1,154.508
26,0,155.725
27,1,158.508
28,0,159.008
29,1,162.008
30,0,163.908
31,1,164.508
32,0,166.008
33,1,168.908
34,0,173.508
35,1,174.008
36,0,177.008
37,1,182.742
38,0,187.008
39,1,188.458
40,0,190.742
41,1,193.508
42,0,195.258
43,1,196.508
44,0,197.008
45,2,198.142
46,0,199.658
47,2,200.008
48,1,204.192
49,0,209.142
50,2,212.008
51,1,216.508
52,0,218.508
53,1,219.008
54,0,221.508
55,1,222.425
56,0,225.408
57,1,228.008
58,2,228.458
59,1,228.508
60,0,229.008
61,1,229.425
62,0,232.008
63,1,232.508
64,2,233.008
65,0,234.008
66,2,238.508
67,1,238.925
68,0,239.875
69,1,246.008
70,2,246.508
71,0,247.008
72,1,247.508
73,0,248.008
74,1,250.375
75,2,250.508
76,0,251.125
77,1,253.008
78,0,253.508
79,1,254.008
80,0,256.008
81,1,266.025
82,2,267.008
83,0,271.508
84,1,273.408
85,0,275.508
86,2,275.542
87,1,284.508
88,0,285.008
89,1,289.008
90,0,289.508
91,1,289.942
92,2,291.008
93,0,295.508
94,1,296.008
95,2,297.508
96,0,299.008
97,1,302.625
98,2,310.008
99,0,312.208
100,1,314.125
101,0,316.008
102,1,316.508
103,0,317.008
104,1,320.442
105,2,320.558
106,1,325.508
107,0,335.008
108,2,335.042
109,0,335.508
110,2,336.008
111,0,337.508
112,2,337.808
113,0,339.008
114,2,341.875
115,0,342.008
116,2,344.008
117,0,344.508
118,2,345.508
119,0,352.508
120,1,352.842
121,0,355.008
122,2,355.008
123,0,364.508
124,1,367.008
125,2,367.175
126,0,367.508
127,1,368.508
128,0,369.008
129,1,369.508
130,0,369.975
131,2,370.258
132,0,370.508
133,1,374.008
134,0,374.908
135,1,381.508
136,0,383.208
137,2,383.508
138,1,390.508
139,2,390.525
140,0,390.958
141,2,402.008
142,0,402.508
143,2,414.292
144,0,415.508
145,2,422.008
146,0,422.508
147,2,422.792
148,0,423.375
149,2,423.892
150,0,425.008
151,2,436.308
152,1,436.508
153,0,438.808
154,2,440.008
155,0,446.008
156,2,454.508
157,0,462.008
158,2,473.242
159,0,473.442
160,2,474.008
161,0,476.008
162,2,476.108
163,0,483.592
164,2,485.508
165,0,486.008
166,2,486.508
167,0,487.008
168,2,491.508
169,0,496.008
170,2,502.225
171,0,504.008
172,2,505.008
173,1,505.558
174,2,506.008
175,0,508.008
176,1,509.508
177,0,513.008
178,1,513.508
179,2,518.008
180,1,519.508
181,0,519.508
182,2,529.508
183,1,530.008
184,0,530.008
185,2,531.658
186,0,531.742
187,2,532.508
188,1,534.508
189,0,535.008
190,1,538.508
191,0,540.508
192,2,554.108
193,0,556.275
194,2,556.508
195,0,557.008
196,2,560.508
197,0,561.008
198,2,564.008
199,0,566.508
200,2,572.008
201,0,578.008
202,2,582.658
203,0,582.808
204,1,583.008
205,0,583.025
206,2,585.008
207,0,587.008
208,1,588.008
209,0,592.608
210,2,593.508
211,1,594.308
212,0,598.058
213,1,600.508
214,2,601.008
215,1,607.008
216,0,607.508
217,1,608.008
218,0,608.308
219,1,609.508
220,0,612.008
221,1,613.508
222,0,626.008
223,2,626.508
224,0,634.008
225,1,635.742
226,0,636.008
227,1,636.508
228,0,637.008
229,1,638.008
230,0,639.008
231,2,642.275
232,1,645.508
233,2,646.192
234,0,647.875
235,2,649.008
236,0,649.508
237,2,654.075
238,1,654.508
239,0,656.008
240,1,656.108
241,0,656.175
242,1,656.525
243,0,658.508
244,1,659.192
245,0,660.008
246,1,662.342
247,3,662.508
248,2,663.008
249,3,669.008
250,0,669.092
251,3,669.508
252,0,670.008
253,3,670.508
254,1,671.508
255,0,672.508
256,1,673.508
257,2,679.008
258,0,685.508
259,2,688.508
260,0,692.508
261,2,697.458
262,0,699.825
263,1,700.008
264,3,700.508
265,1,701.008
266,3,701.008
267,2,703.425
268,1,703.508
269,0,703.842
270,1,704.008
271,2,711.008
272,1,711.442
273,2,713.508
274,0,713.775
275,1,714.008
276,2,714.508
277,0,721.508
278,1,731.042
279,0,731.508
280,1,731.742
281,0,732.408
282,1,732.508
283,0,733.008
284,1,736.008
285,2,738.008
286,1,738.508
287,2,738.742
288,0,739.008
289,2,742.508
290,1,743.508
291,3,745.008
292,0,746.508
293,3,751.008
294,1,755.508
295,2,757.008
296,0,757.475
297,1,757.508
298,2,758.008
299,1,758.325
300,2,767.008
301,0,767.508
302,2,772.008
303,0,772.308
304,2,772.508
305,0,774.008
306,2,774.508
307,1,776.008
308,2,777.592
309,3,778.508
310,0,779.008
311,3,780.358
312,2,780.875
313,1,781.008
314,2,782.008
315,0,782.508
316,3,783.008
317,1,790.008
318,0,791.008
319,2,792.008
320,0,793.008
321,2,797.142
322,3,798.008
323,2,798.142
324,0,803.042
325,1,805.008
326,3,805.508
327,1,807.508
328,0,808.008
329,1,809.008
330,2,809.508
331,1,811.008
332,2,811.508
333,1,812.508
334,0,818.142
335,1,818.508
336,0,819.008
337,2,824.725
338,3,824.958
339,0,825.508
340,3,826.008
341,0,855.008
342,3,855.508
343,0,860.475
344,1,873.508
345,0,877.508
346,2,886.292
347,3,887.008
348,0,887.508
349,2,888.008
350,0,892.008
351,1,899.708
352,3,901.025
353,1,901.508
354,0,909.075
355,2,911.692
356,1,912.508
357,0,914.508
358,1,916.825
359,2,917.008
360,0,918.742
361,1,920.208
362,0,933.508
363,3,934.508
364,1,936.425
365,3,937.008
366,0,937.508
367,1,941.508
368,0,942.242
369,1,942.358
370,2,944.508
371,3,945.008
372,1,949.508
373,0,953.008
374,1,954.508
375,0,956.008
376,1,959.508
377,0,960.008
378,3,962.725
379,1,963.508
380,3,964.508
381,1,966.125
382,2,966.508
383,0,967.508
384,1,968.642
385,0,971.508
386,3,972.508
387,0,977.508
388,1,978.008
389,0,978.508
390,1,979.008
391,3,982.008
392,0,983.008
393,1,983.508
394,0,985.508
395,3,986.008
396,1,986.375
397,0,987.342
398,1,990.775
399,3,991.008
400,0,992.808
401,1,993.008
402,3,993.508
403,1,999.042
404,0,1006.508
405,2,1007.508
406,0,1009.508
407,1,1017.508
408,3,1024.008
409,0,1032.008
410,1,1037.825
411,3,1038.008
412,0,1041.508
413,1,1043.842
414,3,1044.008
415,0,1044.508
416,2,1045.008
417,0,1045.758
418,1,1046.658
419,0,1047.008
420,1,1053.008
421,3,1056.008
422,1,1056.508
423,0,1056.975
424,3,1058.008
425,0,1058.508
426,3,1060.008
427,0,1060.508
428,3,1064.008
429,2,1064.725
430,0,1065.008
431,2,1065.508
432,0,1066.508
433,3,1070.008
434,2,1074.508
435,1,1075.008
436,3,1075.508
437,0,1077.508
438,3,1078.358
439,2,1080.008
440,0,1082.508
441,2,1083.508
442,0,1087.508
443,2,1088.625
444,0,1090.042
445,1,1090.508
446,0,1092.025
447,2,1095.092
448,1,1096.508
449,2,1097.508
450,3,1097.508
451,0,1099.008
452,3,1099.508
453,2,1105.508
454,3,1106.008
455,0,1107.975
456,2,1113.008
457,0,1115.508
458,2,1115.642
459,0,1118.508
460,3,1122.392
461,0,1128.075
462,2,1139.558
463,0,1141.008
464,2,1143.008
465,0,1144.508
466,3,1145.008
467,0,1145.108
468,3,1145.158
469,0,1147.442
470,3,1148.008
471,1,1148.508
472,2,1149.508
473,0,1151.008
474,2,1151.258
475,0,1153.508
476,2,1157.008
477,3,1158.008
478,0,1162.225
479,2,1162.475
480,0,1163.008
481,2,1164.392
482,0,1165.008
483,2,1165.508
484,0,1166.008
485,2,1166.508
486,0,1170.508
487,2,1172.675
488,3,1173.008
489,0,1180.508
490,3,1181.008
491,0,1183.008
492,1,1189.508
493,0,1193.508
494,2,1194.508
495,0,1195.508
496,1,1202.008
497,0,1203.125
498,1,1208.042
499,0,1214.508
500,1,1215.508
501,0,1216.508
502,1,1217.008
503,0,1217.508
504,1,1219.392
505,0,1220.025
506,1,1220.508
507,0,1221.358
508,3,1222.442
509,0,1223.508
510,2,1224.692
511,0,1225.008
512,1,1228.508
513,0,1229.508
514,2,1230.425
515,0,1230.508
516,1,1231.908
517,0,1232.508
518,1,1233.008
519,0,1233.508
520,1,1235.508
521,0,1236.508
522,3,1240.008
523,1,1242.158
524,3,1243.008
525,0,1251.508
526,2,1252.008
527,3,1258.008
528,1,1258.508
529,0,1259.008
530,3,1260.508
531,0,1266.008
532,1,1270.792
533,0,1271.008
534,1,1275.742
535,0,1278.508
536,1,1279.008
537,0,1280.742
538,2,1282.008
539,1,1282.158
540,0,1282.908
541,1,1283.008
542,2,1283.508
543,0,1288.258
544,3,1289.008
545,0,1289.508
546,3,1290.508
547,0,1291.508
548,3,1291.775
549,0,1295.008
550,3,1296.008
551,0,1297.508
552,2,1298.508
553,1,1299.425
554,0,1314.258
555,3,1314.508
556,0,1316.225
557,3,1318.508
558,1,1319.008
559,0,1319.508
560,1,1324.058
561,0,1328.008
562,1,1331.008
563,0,1331.508
564,1,1332.008
565,0,1334.508
566,3,1347.508
567,0,1348.508
568,2,1350.008
569,1,1351.092
570,0,1351.508
571,3,1354.508
572,0,1356.475
573,3,1357.725
574,0,1358.608
575,3,1362.508
576,1,1364.008
577,0,1365.008
578,1,1366.008
579,0,1366.508
580,1,1367.508
581,0,1370.142
582,1,1371.008
583,0,1381.508
584,1,1383.508
585,0,1384.508
586,1,1385.008
587,0,1390.008
588,3,1390.658
589,0,1391.008
590,3,1392.708
591,1,1393.008
592,0,1394.292
593,1,1394.508
594,2,1394.592
595,3,1396.508
596,2,1397.042
597,0,1413.508
598,3,1414.008
599,0,1415.792
600,2,1417.508
601,0,1417.792
602,1,1418.508
603,0,1428.092
604,3,1429.508
605,2,1429.508
606,0,1430.508
607,1,1431.008
608,0,1431.508
609,2,1432.008
610,0,1438.608
611,1,1439.008
612,0,1439.508
613,1,1447.508
614,3,1449.508
615,0,1455.275
616,3,1458.008
617,0,1461.742
618,3,1462.008
619,0,1477.008
620,3,1477.508
621,1,1478.008
622,3,1478.358
623,1,1478.508
624,0,1485.025
625,1,1485.508
626,0,1488.008
627,3,1489.508
628,0,1496.008
629,3,1499.508
630,1,1500.008
631,3,1500.458
632,0,1501.008
633,3,1502.808
634,0,1510.008
635,3,1510.508
636,0,1511.008
637,3,1512.508
638,1,1514.508
639,3,1515.508
640,0,1516.908
641,1,1517.508
642,3,1518.008
643,0,1518.508
644,1,1519.008
645,3,1521.008
646,0,1522.008
647,3,1523.508
648,0,1525.008
649,1,1526.358
650,3,1528.342
651,1,1528.508
652,3,1528.975
653,1,1529.158
654,3,1538.042
655,0,1542.008
656,2,1542.342
657,0,1542.608
658,1,1543.008
659,0,1552.008
660,2,1552.508
661,0,1561.508
662,3,1562.008
663,0,1562.508
664,3,1563.075
665,0,1563.508
666,1,1564.008
667,0,1572.642
668,2,1572.975
669,0,1582.508
670,3,1586.508
671,1,1590.125
672,0,1594.508
673,3,1601.008
674,1,1604.408
675,2,1604.508
676,0,1605.508
677,1,1606.542
678,2,1607.008
679,0,1607.508
680,1,1610.525
681,3,1613.008
682,0,1618.008
683,3,1618.508
684,0,1619.508
685,3,1621.008
686,1,1625.508
687,3,1626.008
688,0,1627.008
689,1,1627.508
690,0,1642.858
691,3,1643.008
692,0,1644.692
693,1,1644.925
694,0,1646.508
695,3,1649.508
696,0,1650.008
697,3,1650.508
698,0,1651.508
699,3,1653.508
700,0,1654.508
701,1,1658.508
702,0,1661.008
703,3,1661.825
704,0,1665.675
705,3,1671.008
706,0,1671.508
707,3,1673.008
708,0,1676.808
709,3,1677.008
710,1,1677.508
711,2,1678.008
712,0,1688.225
713,3,1689.508
714,0,1699.008
715,2,1699.508
716,3,1701.508
717,0,1706.608
