,speaker,endAt
0,0,38.008
1,1,40.075
2,0,44.508
3,1,45.508
4,0,46.008
5,1,50.608
6,0,51.008
7,1,52.508
8,0,66.008
9,1,69.008
10,0,72.758
11,1,80.508
12,0,91.808
13,1,92.008
14,0,92.742
15,1,93.008
16,0,97.375
17,1,98.008
18,0,104.225
19,1,105.508
20,0,106.508
21,1,112.508
22,0,112.908
23,1,114.008
24,0,119.008
25,1,122.592
26,0,123.008
27,1,124.008
28,0,124.508
29,1,129.008
30,0,129.508
31,1,133.242
32,0,133.508
33,1,135.508
34,0,136.008
35,1,138.042
36,0,143.008
37,1,143.508
38,0,144.008
39,1,145.508
40,0,147.125
41,1,147.508
42,0,148.008
43,1,152.508
44,0,153.008
45,1,158.508
46,0,158.625
47,1,159.008
48,0,160.008
49,1,166.508
50,0,167.508
51,1,168.508
52,0,168.508
53,1,172.008
54,0,179.192
55,1,179.508
56,0,180.008
57,1,181.008
58,2,181.092
59,1,182.008
60,2,188.675
61,1,188.708
62,0,191.758
63,2,193.842
64,0,194.008
65,1,195.008
66,2,195.175
67,0,196.608
68,1,199.608
69,2,200.808
70,1,201.008
71,0,202.508
72,2,203.508
73,1,203.842
74,2,204.008
75,0,204.508
76,1,205.008
77,0,206.008
78,2,206.508
79,0,207.508
80,1,215.358
81,2,215.475
82,1,218.825
83,2,222.008
84,1,223.592
85,2,226.008
86,1,226.508
87,0,227.008
88,2,227.508
89,0,228.008
90,2,231.508
91,1,235.008
92,0,249.458
93,1,249.508
94,0,252.758
95,1,262.008
96,2,266.008
97,1,266.042
98,2,266.108
99,1,270.008
100,2,271.508
101,1,271.775
102,0,272.008
103,2,275.008
104,0,275.508
105,1,276.008
106,2,276.875
107,1,278.008
108,2,278.508
109,0,282.508
110,1,284.808
111,0,286.008
112,1,289.508
113,0,296.475
114,1,296.508
115,2,297.708
116,0,299.008
117,2,305.008
118,1,306.508
119,0,306.692
120,1,306.775
121,0,309.158
122,1,309.508
123,0,312.508
124,2,313.008
125,0,314.508
126,2,315.008
127,1,315.742
128,2,315.808
129,0,319.225
130,2,323.508
131,1,325.008
132,2,327.208
133,1,327.508
134,0,328.008
135,2,328.308
136,0,330.825
137,1,331.008
138,2,332.008
139,1,332.275
140,2,333.508
141,1,334.508
142,0,335.008
143,2,336.008
144,1,338.008
145,2,338.508
146,1,339.008
147,2,347.958
148,1,348.008
149,0,349.008
150,1,349.508
151,2,350.008
152,1,351.008
153,2,351.508
154,1,352.508
155,2,353.008
156,1,354.292
157,2,355.008
158,0,357.008
159,1,360.508
160,2,360.792
161,0,362.008
162,2,363.058
163,0,370.008
164,2,371.008
165,1,371.508
166,2,373.008
167,1,373.508
168,0,374.508
169,2,384.792
170,1,385.208
171,2,392.508
172,0,397.508
173,2,398.008
174,0,399.508
175,2,400.508
176,0,401.458
177,1,401.508
178,0,402.008
179,2,406.008
180,1,407.358
181,0,408.008
182,2,408.292
183,0,409.008
184,1,410.508
185,2,420.008
186,0,420.508
187,2,426.508
188,1,427.008
189,2,427.508
190,0,431.508
191,2,432.508
192,0,438.008
193,2,438.192
194,0,438.508
195,2,440.025
196,1,440.142
197,2,440.508
198,1,442.708
199,2,444.292
200,1,445.625
201,2,447.508
202,1,448.892
203,2,449.508
204,0,450.008
205,1,450.508
206,2,451.508
207,1,452.008
208,2,460.325
209,0,460.508
210,1,461.508
211,2,462.008
212,1,463.008
213,0,480.508
214,1,481.508
215,0,485.525
216,2,486.008
217,0,487.508
218,2,489.408
219,1,489.508
220,2,489.508
221,0,500.508
222,1,503.508
223,0,504.008
224,1,504.008
225,2,504.242
226,1,504.475
227,2,505.875
228,1,506.508
229,0,507.008
230,1,508.508
231,2,510.675
232,1,512.008
233,2,512.908
234,0,517.008
235,2,517.508
236,1,521.008
237,2,521.292
238,0,525.108
239,1,527.192
240,0,527.508
241,1,532.658
242,0,533.458
243,1,533.508
244,2,536.008
245,0,537.325
246,2,538.008
247,0,538.775
248,1,539.508
249,2,541.575
250,0,545.625
251,2,546.008
252,1,550.008
253,0,551.008
254,1,552.008
255,0,579.908
256,1,580.008
257,0,580.508
258,1,581.008
259,0,583.058
260,1,596.008
261,0,604.508
262,1,604.875
263,0,611.008
264,2,613.508
265,1,613.592
266,2,616.008
267,1,617.175
268,2,623.008
269,0,623.108
270,1,631.508
271,0,632.008
272,1,634.508
273,0,635.508
274,1,636.142
275,0,636.258
276,1,636.425
277,0,637.008
278,1,639.158
279,2,639.508
280,1,646.008
281,2,647.208
282,1,652.925
283,0,653.008
284,1,658.058
285,2,661.508
286,1,676.675
287,2,686.008
288,0,686.308
289,1,691.258
290,0,695.008
291,2,696.008
292,1,696.392
293,0,696.892
294,1,702.025
295,2,702.508
296,0,704.008
297,2,704.508
298,0,710.508
299,1,713.008
300,0,719.308
301,1,719.958
302,0,721.008
303,1,721.958
304,0,722.958
305,1,724.475
306,0,725.258
307,1,725.858
308,0,726.008
309,1,726.792
310,0,729.042
311,1,731.508
312,2,734.508
313,1,735.508
314,2,736.008
315,1,736.508
316,2,737.508
317,1,738.008
318,2,741.558
319,1,742.392
320,2,743.508
