,speaker,endAt
0,0,71.808
1,1,73.975
2,0,77.392
3,1,77.508
4,0,94.658
5,1,95.008
6,0,97.008
7,2,106.508
8,0,110.008
9,1,116.692
10,2,117.008
11,0,117.508
12,2,122.525
13,1,125.008
14,2,125.508
15,1,125.775
16,2,125.942
17,1,126.008
18,2,126.508
19,1,127.008
20,2,127.508
21,0,128.008
22,1,129.008
23,0,129.508
24,2,132.608
25,1,133.875
26,2,146.758
27,1,150.642
28,2,151.692
29,1,151.975
30,2,153.508
31,1,154.008
32,2,158.008
33,0,162.508
34,2,163.508
35,1,164.475
36,2,166.025
37,1,166.108
38,2,167.008
39,1,171.508
40,0,175.392
41,1,175.508
42,2,179.508
43,1,182.508
44,2,182.725
45,1,183.008
46,2,183.508
47,1,190.508
48,0,191.008
49,2,191.508
50,0,195.442
51,1,200.025
52,0,200.358
53,1,201.108
54,0,201.508
55,1,202.508
56,0,202.692
57,1,203.108
58,0,204.008
59,1,205.658
60,0,207.008
61,1,210.008
62,0,210.508
63,1,213.625
64,0,214.008
65,1,215.508
66,0,216.508
67,1,220.325
68,2,221.892
69,1,222.008
70,2,224.508
71,1,226.142
72,0,226.508
73,2,226.675
74,1,227.008
75,0,227.508
76,1,227.925
77,2,229.025
78,1,238.008
79,2,238.342
80,1,239.008
81,0,239.508
82,1,240.008
83,0,244.008
84,1,244.508
85,0,245.008
86,2,248.375
87,0,248.508
88,1,251.008
89,2,256.808
90,1,258.508
91,2,259.508
92,1,260.508
93,0,261.008
94,2,264.008
95,1,266.008
96,2,274.008
97,0,277.508
98,1,278.008
99,2,283.508
100,1,291.008
101,2,298.008
102,1,298.508
103,2,299.008
104,1,299.508
105,2,300.508
106,1,307.425
107,2,315.225
108,1,316.308
109,2,317.508
110,1,322.558
111,3,324.025
112,1,324.058
113,0,324.258
114,1,324.858
115,0,326.208
116,1,330.508
117,0,335.508
118,2,337.008
119,1,337.358
120,2,338.508
121,1,340.008
122,2,341.008
123,0,342.008
124,2,342.508
125,1,345.508
126,2,346.008
127,1,349.008
128,2,351.042
129,1,353.058
130,2,354.208
131,1,357.275
132,2,363.008
133,1,365.092
134,0,365.458
135,1,366.008
136,3,368.008
137,0,372.275
138,3,373.008
139,2,374.008
140,3,375.008
141,2,375.508
142,3,377.125
143,0,377.242
144,3,384.008
145,2,384.325
146,0,388.008
147,2,391.508
148,0,391.608
149,1,392.508
150,3,395.008
151,0,397.008
152,1,397.442
153,3,398.375
154,0,398.508
155,1,401.508
156,2,401.892
157,1,403.008
158,2,403.508
159,0,407.008
160,2,407.508
161,1,408.008
162,0,409.508
163,1,412.008
164,2,412.508
165,1,413.508
166,2,418.308
167,1,419.008
168,2,421.008
169,1,421.508
170,2,422.508
171,1,423.008
172,2,424.792
173,3,425.008
174,1,425.008
175,2,426.008
176,1,430.508
177,2,437.058
178,1,438.008
179,2,444.008
180,1,446.092
181,2,446.508
182,0,447.008
183,2,447.525
184,3,448.508
185,0,448.508
186,3,448.975
187,0,449.292
188,3,451.008
189,1,451.508
190,0,452.008
191,3,453.008
192,0,454.508
193,3,456.508
194,2,467.508
195,1,468.642
196,0,469.008
197,1,470.508
198,2,471.508
199,0,472.008
200,2,472.508
201,1,473.008
202,2,479.508
203,0,480.008
204,1,483.142
205,0,484.508
206,2,485.008
207,0,487.008
208,1,488.008
209,2,496.508
210,1,498.508
211,2,501.525
212,1,502.008
213,0,504.008
214,1,504.508
215,0,505.508
216,1,506.008
217,0,511.008
218,1,511.408
219,0,511.508
220,3,512.508
221,0,513.508
222,1,514.008
223,3,517.192
224,1,517.475
225,3,519.508
226,0,522.275
227,1,522.508
228,0,523.008
229,3,523.508
230,1,523.908
231,3,526.008
232,1,526.125
233,3,526.508
234,0,528.008
235,3,528.508
236,0,528.842
237,3,529.008
238,1,529.592
239,0,531.075
240,3,532.508
241,0,533.008
242,3,533.508
243,0,534.008
244,1,534.008
245,3,536.008
246,2,539.242
247,3,541.008
248,1,542.708
249,3,543.008
250,1,549.275
251,0,549.508
252,3,550.008
253,1,550.508
254,0,551.108
255,3,552.008
256,0,553.508
257,3,554.008
258,0,554.508
259,2,558.092
260,1,558.508
261,0,560.508
262,3,561.508
263,2,563.008
264,3,563.508
265,0,564.508
266,3,568.842
267,0,570.508
268,3,571.008
269,0,573.208
270,3,574.508
271,2,577.508
272,3,578.875
273,0,580.008
274,3,591.508
275,2,594.008
276,1,594.508
277,3,595.008
278,2,595.508
279,3,599.758
280,2,600.008
281,0,605.008
282,1,606.158
283,3,609.225
284,2,612.092
285,1,618.208
286,0,618.508
287,3,619.008
288,1,623.275
289,0,625.058
290,3,626.508
291,2,633.508
292,3,634.808
293,0,635.008
294,3,635.775
295,0,636.742
296,2,637.008
297,0,642.508
298,2,643.008
299,0,646.442
300,1,652.508
301,3,653.008
302,0,681.508
303,2,689.008
304,0,693.508
305,2,698.558
306,0,711.008
307,3,713.592
308,0,714.008
309,1,714.592
310,0,717.675
311,1,718.008
312,3,723.125
313,1,724.058
314,2,724.508
315,3,724.675
316,0,726.008
317,1,729.008
318,2,729.508
319,1,732.008
320,3,733.508
321,1,739.508
322,2,743.508
323,1,744.008
324,2,744.508
325,0,746.008
326,1,756.008
327,2,756.508
328,1,757.425
329,2,759.375
330,1,760.508
331,2,767.508
332,3,769.508
333,0,777.008
334,3,781.508
335,1,782.508
336,2,783.008
337,3,783.025
338,1,785.008
339,2,786.008
340,0,786.775
341,3,787.508
342,1,787.742
343,0,793.508
344,2,799.342
345,1,804.008
346,2,804.508
347,1,806.158
348,2,807.642
349,1,808.258
350,2,809.475
351,1,814.508
352,2,817.008
353,1,817.508
354,2,818.008
355,1,818.258
356,0,820.008
357,3,820.508
358,1,820.692
359,3,822.008
360,1,826.508
361,2,827.508
362,1,828.508
363,0,833.158
364,1,835.508
365,2,837.958
366,3,838.008
367,1,840.008
368,2,843.442
369,3,843.508
370,1,845.008
371,2,847.092
372,1,847.508
373,2,851.008
374,1,853.008
375,3,853.508
376,2,859.008
377,1,859.508
378,2,866.008
379,1,866.508
380,2,870.508
381,3,871.508
382,2,872.008
383,1,872.508
384,2,878.508
385,0,879.692
386,2,892.692
387,0,895.008
388,3,897.508
389,1,898.008
390,3,898.508
391,0,900.008
392,3,901.275
393,0,901.508
394,2,902.508
395,1,905.508
396,3,906.008
397,1,907.508
398,2,908.008
399,1,910.008
400,2,911.008
401,1,911.508
402,2,915.008
403,3,916.008
404,1,919.008
405,2,919.508
406,3,922.042
407,1,925.308
408,3,925.692
409,2,926.008
410,3,934.008
411,2,935.058
412,3,935.508
413,1,937.408
414,2,937.508
415,1,938.008
416,3,939.208
417,1,940.008
418,3,945.008
419,1,949.508
420,3,950.008
421,1,950.508
422,3,953.558
423,1,954.008
424,3,954.542
425,1,956.758
426,0,958.508
427,1,959.442
428,3,962.008
429,1,967.008
430,3,975.508
431,1,976.808
432,3,978.975
433,1,979.108
434,3,979.508
435,1,989.508
436,3,990.008
437,1,994.508
438,2,995.008
439,3,996.008
440,2,997.508
441,1,998.008
442,3,1018.508
443,0,1020.508
444,1,1021.208
445,3,1021.408
446,1,1021.508
447,0,1021.692
448,1,1023.508
449,3,1024.508
450,2,1025.008
451,1,1026.508
452,3,1027.242
453,1,1028.542
454,3,1029.008
455,1,1029.508
456,3,1034.508
457,1,1034.975
458,3,1036.508
459,0,1037.508
460,1,1038.508
461,3,1041.508
462,1,1042.008
463,0,1046.008
464,3,1046.092
465,1,1048.008
466,3,1048.508
467,1,1049.508
468,0,1050.008
469,1,1054.258
470,0,1054.508
471,2,1056.008
472,3,1060.108
473,0,1060.192
474,1,1064.308
475,0,1065.508
476,3,1068.008
477,0,1069.008
478,3,1069.508
479,0,1070.775
480,3,1071.508
481,0,1071.875
482,3,1073.008
483,0,1073.608
484,3,1073.775
485,0,1074.108
486,3,1080.008
487,0,1084.508
488,3,1094.008
489,1,1094.508
490,3,1096.242
491,1,1103.725
492,2,1104.008
493,1,1106.008
494,3,1107.508
495,1,1115.008
496,0,1128.008
497,1,1128.508
498,0,1130.008
499,1,1138.508
500,2,1147.625
501,1,1153.008
502,0,1153.408
503,1,1153.508
504,2,1153.508
505,1,1154.008
506,0,1154.508
507,2,1157.808
508,1,1158.508
509,0,1159.008
510,1,1159.508
511,2,1159.508
512,1,1160.008
513,0,1160.508
514,2,1161.008
515,1,1170.508
516,0,1173.508
517,1,1180.525
518,0,1185.042
519,3,1185.075
520,0,1193.508
521,1,1205.008
522,3,1215.508
523,1,1221.508
524,3,1225.508
525,1,1231.008
526,3,1231.642
527,1,1232.875
528,3,1236.508
529,1,1237.008
530,3,1238.508
531,1,1239.008
532,3,1239.508
533,1,1245.508
534,0,1246.008
535,1,1247.008
536,3,1248.008
537,2,1248.508
538,1,1251.008
539,2,1251.508
540,1,1252.342
541,2,1252.508
542,1,1258.342
543,3,1259.508
544,1,1260.908
545,3,1261.508
546,1,1262.508
547,3,1263.508
548,0,1263.508
549,1,1264.975
550,3,1277.508
551,2,1279.508
552,0,1279.508
553,3,1280.008
554,1,1283.008
555,0,1283.508
556,1,1284.008
557,0,1284.508
558,1,1290.008
559,3,1291.508
560,1,1299.308
561,0,1302.508
562,1,1305.508
563,3,1306.508
564,0,1313.508
565,1,1315.158
566,0,1316.808
567,1,1318.008
568,3,1324.508
569,1,1328.508
570,0,1329.008
571,1,1333.508
572,0,1334.008
573,2,1337.008
574,3,1338.058
575,1,1338.508
576,0,1342.508
577,1,1345.508
578,0,1346.508
579,1,1348.508
580,0,1349.008
581,2,1349.508
582,0,1360.058
583,1,1369.575
584,3,1370.708
585,1,1371.008
586,3,1371.292
587,1,1373.008
588,2,1373.092
589,1,1373.208
590,3,1373.525
591,1,1375.592
592,2,1376.008
593,1,1376.508
594,3,1378.058
595,1,1379.008
596,3,1381.925
597,0,1382.008
598,3,1382.508
599,0,1383.508
600,2,1384.008
601,0,1384.508
602,2,1385.375
603,1,1399.008
604,3,1399.225
605,1,1399.508
606,0,1400.008
607,1,1406.242
608,3,1406.508
609,0,1407.008
610,1,1408.008
611,3,1410.008
612,0,1410.508
613,1,1419.008
614,0,1419.458
615,1,1419.892
616,0,1421.008
617,1,1435.675
618,0,1440.008
619,3,1448.258
620,0,1450.508
621,2,1451.075
622,3,1451.508
623,0,1452.008
624,3,1452.175
625,2,1453.008
626,3,1454.008
627,0,1459.242
628,3,1459.442
629,0,1461.008
630,3,1463.008
631,0,1469.508
632,3,1470.008
633,0,1470.758
634,3,1471.592
635,2,1471.742
636,0,1471.808
637,2,1474.008
638,0,1475.008
639,3,1480.008
640,0,1480.208
641,3,1480.508
