,speaker,endAt
0,0,26.508
1,1,38.008
2,0,50.508
3,1,56.508
4,0,66.808
5,1,68.008
6,0,68.508
7,1,85.508
8,0,86.008
9,1,117.575
10,2,118.192
11,0,126.008
12,2,138.508
13,0,139.308
14,2,140.058
15,0,146.008
16,1,152.508
17,2,156.975
18,0,157.158
19,2,160.008
20,0,161.508
21,2,167.008
22,0,172.408
23,2,174.508
24,0,178.008
25,2,184.508
26,0,186.642
27,2,187.508
28,1,187.508
29,0,188.008
30,2,189.692
31,0,190.508
32,2,196.225
33,1,196.508
34,0,197.008
35,1,198.508
36,0,202.508
37,1,202.725
38,2,203.508
39,0,204.008
40,1,206.008
41,2,206.508
42,1,209.025
43,0,211.008
44,1,211.475
45,0,216.192
46,1,216.475
47,0,219.192
48,1,220.075
49,0,223.008
50,2,224.008
51,1,224.508
52,0,225.325
53,2,234.442
54,0,245.508
55,1,247.325
56,0,248.858
57,1,248.875
58,2,250.925
59,1,251.008
60,0,251.508
61,2,252.008
62,1,252.008
63,0,252.508
64,2,253.008
65,1,253.508
66,2,255.575
67,0,256.508
68,2,257.508
69,0,258.508
70,2,259.008
71,0,259.508
72,1,269.508
73,0,269.808
74,1,282.508
75,0,286.008
76,1,286.508
77,2,287.508
78,1,287.942
79,2,288.508
80,0,289.508
81,2,291.508
82,1,293.758
83,0,294.008
84,1,294.508
85,0,295.508
86,1,296.275
87,0,303.008
88,1,303.242
89,0,310.508
90,2,311.008
91,0,311.508
92,1,312.508
93,0,318.508
94,2,326.108
95,1,326.508
96,0,327.008
97,1,329.575
98,2,334.008
99,0,335.008
100,2,337.508
101,0,338.775
102,2,339.508
103,1,340.008
104,0,340.508
105,1,341.708
106,0,342.508
107,2,345.792
108,1,346.008
109,0,352.508
110,1,354.008
111,2,354.508
112,1,354.775
113,2,357.008
114,1,360.008
115,2,360.508
116,1,361.008
117,0,361.008
118,2,361.508
119,0,362.508
120,1,363.008
121,0,365.008
122,2,368.425
123,0,368.508
124,1,368.875
125,0,369.008
126,2,370.125
127,0,370.508
128,1,371.942
129,2,373.208
130,1,373.508
131,0,373.825
132,2,374.008
133,1,374.775
134,0,380.508
135,2,381.208
136,0,382.508
137,1,384.008
138,2,386.008
139,0,386.092
140,1,387.508
141,2,391.008
