,speaker,endAt
0,0,43.258
1,1,43.508
2,0,44.008
3,1,45.508
4,0,56.292
5,1,57.008
6,0,57.508
7,1,60.008
8,0,64.308
9,1,72.508
10,0,78.092
11,1,78.508
12,0,79.008
13,1,85.508
14,0,98.042
15,1,103.525
16,0,106.508
17,1,112.108
18,0,114.225
19,1,127.508
20,0,135.808
21,1,136.508
22,2,144.025
23,0,158.508
24,2,159.008
25,0,160.008
26,2,161.008
27,0,161.508
28,2,166.008
29,0,167.008
30,2,168.008
31,0,173.008
32,1,177.275
33,3,177.508
34,1,182.408
35,2,182.508
36,1,183.642
37,0,184.008
38,2,184.508
39,0,184.758
40,1,186.125
41,2,189.508
42,1,190.508
43,2,191.008
44,1,193.508
45,2,196.508
46,1,198.008
47,0,200.008
48,1,202.008
49,2,205.008
50,0,205.508
51,1,206.508
52,0,207.008
53,1,207.508
54,2,208.008
55,1,209.008
56,0,209.775
57,1,211.008
58,3,211.342
59,0,211.508
60,3,211.575
61,0,213.508
62,1,214.008
63,0,216.625
64,1,218.925
65,0,220.508
66,1,220.508
67,0,221.375
68,1,226.008
69,0,226.308
70,1,230.508
71,4,231.008
72,3,238.592
73,0,239.008
74,2,240.208
75,3,241.508
76,1,242.008
77,3,243.808
78,1,243.958
79,0,244.008
80,2,244.508
81,1,245.975
82,3,246.058
83,1,250.508
84,3,251.008
85,2,251.508
86,3,252.008
87,1,252.508
88,2,253.425
89,3,253.508
90,0,253.625
91,1,261.508
92,2,262.008
93,0,264.008
94,3,264.225
95,0,264.508
96,2,267.825
97,0,268.508
98,1,269.008
99,0,269.508
100,1,271.008
101,0,271.508
102,1,272.008
103,0,276.008
104,3,276.275
105,0,277.008
106,3,287.225
107,0,287.508
108,3,288.508
109,0,289.008
110,1,289.508
111,0,290.008
112,1,294.508
113,0,295.008
114,1,295.625
115,3,295.958
116,1,302.008
117,0,302.508
118,2,303.008
119,3,305.725
120,1,306.008
121,3,308.125
122,2,308.508
123,1,311.008
124,3,311.125
125,1,311.508
126,0,312.508
127,3,323.508
128,1,330.508
129,3,338.242
130,2,338.508
131,1,340.508
132,3,341.508
133,1,344.008
134,3,345.858
135,1,346.008
136,3,348.692
137,0,356.008
138,3,359.508
139,2,362.442
140,1,364.008
141,3,372.008
142,0,375.508
143,3,387.508
144,1,390.008
145,3,394.008
146,1,394.508
147,3,395.075
148,0,396.508
149,1,397.508
150,3,400.508
151,2,403.508
152,0,405.008
153,1,409.008
154,0,413.325
155,3,414.225
156,0,415.192
157,3,415.508
158,0,417.575
159,1,418.008
160,0,418.508
161,1,422.575
162,0,423.008
163,3,424.508
164,2,425.508
165,1,426.008
166,2,426.042
167,1,427.008
168,3,427.975
169,1,430.408
170,3,437.458
171,1,438.508
172,4,440.508
173,1,444.008
174,4,445.275
175,3,445.408
176,4,447.008
177,3,447.142
178,4,447.508
179,1,448.008
180,4,448.358
181,1,451.508
182,0,452.508
183,1,452.708
184,0,456.008
185,3,456.058
186,0,460.608
187,4,461.008
188,1,462.508
189,4,463.008
190,1,463.508
191,0,466.508
192,4,467.008
193,1,468.008
194,3,474.008
195,0,479.008
196,1,483.658
197,4,486.508
198,3,488.658
199,0,494.008
200,1,494.508
201,0,496.008
202,1,498.825
203,0,501.008
204,3,502.508
205,1,503.008
206,0,503.508
207,1,504.508
208,0,506.008
209,1,524.008
210,4,525.858
211,1,526.008
212,4,526.508
213,0,529.008
214,1,531.008
215,3,540.425
216,2,540.508
217,1,542.008
218,3,546.608
219,1,550.542
220,3,558.508
221,1,559.008
222,2,559.508
223,1,560.192
224,3,564.508
225,1,565.508
226,2,565.808
227,3,566.008
228,0,566.108
229,3,566.275
230,1,567.008
231,3,568.508
232,1,569.008
233,3,574.825
234,4,574.925
235,3,592.008
236,1,592.508
237,3,594.008
238,1,594.042
239,3,597.008
240,1,597.725
241,3,598.008
242,0,600.008
243,2,600.475
244,4,606.308
245,1,606.508
246,3,611.658
247,1,612.008
248,3,613.508
249,1,617.008
250,0,619.508
251,3,619.875
252,0,622.008
253,3,626.075
254,4,627.008
255,1,627.508
256,0,654.392
257,4,654.508
258,0,660.008
259,3,669.508
260,0,670.192
261,1,670.508
262,2,677.008
263,0,680.008
264,1,680.458
265,0,683.008
266,1,688.008
267,0,689.725
268,2,691.508
269,1,695.508
270,3,700.508
271,1,702.008
272,3,705.808
273,1,706.008
274,2,714.758
275,0,715.008
276,1,716.442
277,3,717.708
278,1,719.008
279,3,732.208
280,1,733.008
281,3,734.508
282,1,735.008
283,3,735.508
284,1,739.008
285,4,743.808
286,1,752.275
287,2,752.508
288,0,753.008
289,1,753.508
290,0,756.792
291,1,758.008
292,4,759.008
293,1,759.275
294,4,762.342
295,1,763.008
296,3,775.008
297,0,777.008
298,3,777.508
299,0,778.008
300,3,778.508
301,0,783.508
302,3,787.242
303,0,788.508
304,2,789.008
305,0,790.508
306,4,791.008
307,3,791.508
308,4,792.508
309,3,796.008
310,4,799.508
