,speaker,endAt
0,0,65.508
1,1,101.642
2,0,104.008
3,1,124.008
4,0,126.725
5,1,139.008
6,0,139.508
7,1,141.508
8,0,144.758
9,1,145.925
10,0,148.375
11,1,150.008
12,0,154.508
13,1,156.792
14,0,157.508
15,1,160.692
16,0,169.075
17,1,169.125
18,2,170.008
19,0,170.508
20,2,171.775
21,0,172.008
22,1,174.592
23,2,175.508
24,0,176.008
25,2,177.875
26,1,182.975
27,0,184.508
28,2,191.058
29,1,191.458
30,2,193.792
31,1,193.942
32,2,195.008
33,1,205.508
34,0,205.975
35,2,206.508
36,0,207.008
37,1,208.508
38,0,209.008
39,1,211.008
40,0,213.008
41,1,214.508
42,2,216.275
43,0,219.792
44,2,220.508
45,0,223.675
46,1,224.008
47,0,224.292
48,1,231.508
49,0,242.508
50,1,243.508
51,2,245.008
52,1,248.508
53,2,256.442
54,0,271.508
55,2,272.008
56,1,272.508
57,0,277.008
58,1,279.008
59,2,279.208
60,1,279.508
61,0,280.008
62,2,284.658
63,0,285.842
64,2,286.125
65,1,286.508
66,0,288.858
67,2,291.942
68,1,292.208
69,0,292.292
70,1,292.508
71,2,293.008
72,1,297.508
73,2,301.725
74,1,302.008
75,0,302.342
76,1,302.508
77,0,304.008
78,1,304.508
79,0,305.008
80,1,318.192
81,2,323.192
82,1,325.008
83,2,326.008
84,1,330.508
85,0,331.008
86,1,341.125
87,2,346.508
88,0,347.008
89,1,349.508
90,2,351.208
91,1,353.475
92,2,355.308
93,1,356.008
94,0,356.508
95,2,357.225
96,1,359.258
97,2,362.658
98,1,364.725
99,2,366.508
100,1,367.008
101,2,372.108
102,1,372.725
103,2,373.008
104,0,374.342
105,1,376.275
106,0,377.358
107,1,378.508
108,0,379.008
109,1,380.008
110,2,387.508
111,0,390.008
112,2,390.508
113,0,392.008
114,1,394.008
115,0,394.392
116,1,395.508
117,0,397.075
118,1,398.008
119,0,399.008
120,1,399.508
121,0,401.508
122,1,402.008
123,0,404.008
124,1,404.508
125,0,405.725
126,2,406.508
127,1,409.008
128,2,409.692
129,0,410.008
130,1,411.008
131,0,412.508
132,1,412.975
133,2,414.208
134,0,415.775
135,1,419.508
136,2,419.908
137,1,424.008
138,2,430.508
139,1,432.008
140,0,432.358
141,1,434.008
142,0,434.508
143,2,435.008
144,1,436.008
145,2,436.508
146,1,437.008
147,2,438.008
148,1,438.542
149,2,439.008
150,1,439.508
151,0,440.508
152,1,442.508
153,2,443.508
154,1,445.508
155,2,446.008
156,1,446.508
157,0,450.842
158,1,452.842
159,0,453.508
160,1,457.225
161,2,459.008
162,0,462.608
163,2,463.008
164,0,464.508
165,1,477.442
166,0,477.508
167,1,480.108
168,0,480.125
169,1,480.275
170,0,480.508
171,2,487.008
172,1,491.508
173,2,492.008
174,1,493.008
175,2,493.508
176,1,494.508
177,2,508.875
178,1,509.008
179,0,509.208
180,2,509.508
181,1,510.008
182,2,510.508
183,1,512.042
184,2,521.858
185,1,522.008
186,2,523.392
187,0,523.508
188,2,527.508
189,0,528.008
190,2,535.008
191,1,543.592
192,2,544.008
