,speaker,endAt
0,0,61.742
1,1,62.008
2,0,73.508
3,1,79.008
4,0,95.558
5,1,97.008
6,2,98.325
7,0,98.508
8,2,107.925
9,1,108.008
10,0,111.508
11,1,113.542
12,0,124.008
13,1,124.508
14,0,125.008
15,2,126.025
16,0,126.508
17,2,128.775
18,1,129.008
19,0,132.008
20,2,134.008
21,0,139.508
22,1,143.542
23,0,146.508
24,2,149.008
25,0,149.508
26,1,150.508
27,0,154.092
28,2,155.008
29,0,156.008
30,1,158.508
31,2,162.575
32,1,163.008
33,3,164.008
34,1,164.075
35,3,167.508
36,2,168.008
37,1,169.008
38,2,171.742
39,1,177.242
40,3,179.008
41,0,179.958
42,3,180.008
43,2,190.508
44,3,192.008
45,1,193.525
46,3,194.008
47,2,196.058
48,1,199.375
49,2,199.508
50,3,200.508
51,0,201.508
52,3,202.508
53,1,203.008
54,3,206.108
55,0,206.508
56,1,207.508
57,3,208.008
58,0,209.008
59,3,209.508
60,0,210.008
61,3,211.008
62,1,212.008
63,2,213.242
64,0,213.508
65,2,215.008
66,0,215.508
67,1,221.658
68,3,222.008
69,2,225.608
70,1,225.742
71,2,226.008
72,1,226.508
73,2,231.575
74,1,233.392
75,2,233.508
76,1,244.475
77,2,255.508
78,0,257.008
79,1,260.508
80,0,261.508
81,2,267.008
82,1,276.075
83,0,276.225
84,3,279.008
85,0,281.008
86,1,283.008
87,2,283.508
88,1,293.508
89,0,295.792
90,2,303.008
91,3,303.225
92,0,309.525
93,1,311.692
94,2,311.742
95,0,313.008
96,1,314.675
97,3,317.008
98,1,318.425
99,3,318.508
100,1,323.158
101,2,323.692
102,1,326.508
103,2,328.858
104,1,334.008
105,0,335.175
106,1,338.475
107,0,338.558
108,2,339.508
109,1,342.308
110,3,342.508
111,2,343.008
112,3,343.508
113,2,344.508
114,1,344.675
115,2,345.025
116,0,346.875
117,1,347.008
118,3,347.575
119,1,348.508
120,3,353.725
121,1,362.425
122,0,363.008
123,2,370.508
124,1,374.508
125,0,375.008
126,1,376.125
127,0,377.008
128,1,379.508
129,0,381.142
130,3,382.008
131,2,382.058
132,0,382.508
133,3,384.508
134,1,385.008
135,0,385.508
136,1,386.008
137,0,390.008
138,3,395.508
139,1,396.942
140,2,399.008
141,3,399.508
142,1,400.508
143,0,401.508
144,2,402.008
145,1,419.008
146,0,422.508
147,1,423.008
148,0,423.508
149,1,425.708
150,3,426.008
151,0,428.008
152,1,431.008
153,0,432.008
154,1,438.008
155,0,441.508
156,1,441.792
157,0,441.858
158,1,442.508
159,0,446.175
160,3,447.008
161,1,448.142
162,0,450.008
163,3,450.125
164,1,450.508
165,3,453.142
166,1,458.592
167,0,459.008
168,2,462.508
169,1,463.875
170,2,465.358
171,1,467.508
172,0,469.375
173,3,469.508
174,1,473.008
175,0,473.508
176,3,477.008
177,0,477.508
178,3,479.508
179,1,480.508
180,0,481.508
181,1,482.008
182,0,482.508
183,3,483.008
184,1,483.508
185,0,487.008
186,2,488.075
187,1,489.858
188,2,491.042
189,3,492.008
190,2,499.508
191,0,505.008
192,1,505.742
193,3,506.008
194,0,506.508
195,2,507.508
196,0,508.008
197,1,508.508
198,0,513.008
199,3,513.158
200,0,515.008
201,3,518.008
202,1,518.225
203,3,518.508
204,2,519.508
205,1,520.525
206,3,521.008
207,0,525.508
208,3,526.008
209,0,527.008
210,3,530.508
211,0,531.008
212,1,531.375
213,3,533.508
214,1,540.508
215,2,541.008
216,0,541.508
217,2,541.508
218,1,542.008
219,0,542.508
220,1,544.508
221,2,545.258
222,0,545.508
223,3,551.625
224,2,552.008
225,1,553.008
226,3,555.125
227,1,555.508
228,0,558.292
229,2,558.508
230,0,559.058
231,2,565.092
232,3,565.508
233,1,566.825
234,2,569.508
235,3,571.208
236,1,571.475
237,3,572.508
238,1,573.008
239,2,573.508
240,3,574.742
241,1,575.892
242,3,576.008
243,0,577.575
244,3,582.158
245,0,588.275
246,3,588.408
247,0,588.508
248,3,589.508
249,0,595.725
250,1,596.008
251,0,596.508
252,2,597.508
253,1,603.008
254,0,605.008
255,1,611.875
256,3,612.508
257,2,614.008
