,speaker,endAt
0,0,43.008
1,1,43.508
2,0,54.008
3,1,54.075
4,0,54.192
5,1,58.508
6,0,62.508
7,1,63.508
8,0,68.008
9,1,72.008
10,0,72.508
11,1,73.008
12,0,73.508
13,1,76.008
14,0,81.008
15,1,90.008
16,0,113.942
17,1,114.008
18,0,118.508
19,1,118.592
20,0,118.942
21,1,121.775
22,0,124.342
23,1,124.508
24,0,127.008
25,1,127.508
26,0,128.008
27,1,128.508
28,0,130.508
29,1,132.508
30,0,135.008
31,1,136.008
32,0,137.042
33,1,138.508
34,0,139.508
35,1,143.508
36,0,143.658
37,1,146.008
38,0,155.508
39,1,157.508
40,0,160.008
41,1,161.042
42,0,163.508
43,1,164.008
44,0,164.092
45,1,168.008
46,2,173.508
47,1,179.475
48,0,186.875
49,1,189.508
50,0,194.008
51,2,200.508
52,0,201.225
53,1,202.008
54,2,207.475
55,1,208.342
56,2,208.442
57,0,208.508
58,2,208.958
59,1,209.508
60,0,214.325
61,1,216.608
62,0,216.642
63,2,218.508
64,1,219.008
65,0,219.508
66,1,225.658
67,2,226.008
68,1,228.242
69,0,228.508
70,2,230.508
71,1,232.508
72,2,233.442
73,1,233.475
74,2,235.008
75,1,239.008
76,0,241.008
77,1,242.508
78,0,244.192
79,1,246.008
80,0,249.358
81,1,250.008
82,2,250.508
83,1,251.375
84,0,252.025
85,1,253.008
86,0,253.308
87,1,263.508
88,2,264.008
89,1,274.542
90,0,275.008
91,1,278.008
92,0,280.192
93,2,280.508
94,1,284.008
95,0,284.508
96,1,284.608
97,0,285.008
98,2,285.475
99,1,287.008
100,2,292.008
101,0,298.008
102,1,303.025
103,0,307.508
104,2,307.592
105,0,308.008
106,1,315.008
107,0,317.592
108,1,318.508
109,2,320.008
110,1,332.508
111,2,333.508
112,0,334.225
113,2,334.508
114,1,335.008
115,2,335.508
116,1,336.008
117,2,336.508
118,1,337.008
119,2,341.008
120,1,341.242
121,2,343.008
122,1,343.275
123,2,346.042
124,1,348.508
125,2,349.008
126,0,349.442
127,1,350.008
128,0,350.108
129,1,350.508
130,0,351.125
131,1,355.075
132,2,355.608
133,1,356.008
134,0,359.508
135,1,369.508
136,0,369.625
137,1,373.008
138,0,374.008
139,1,374.508
140,0,375.008
141,1,375.508
142,0,376.008
143,1,376.508
144,0,377.008
145,2,377.508
146,1,378.008
147,2,378.508
148,1,379.008
149,2,380.008
150,1,394.142
151,2,394.508
152,0,400.008
153,1,400.508
154,2,400.758
155,0,402.008
156,2,403.192
157,0,403.508
158,1,412.008
159,2,413.008
160,0,420.042
161,1,420.508
162,0,426.508
163,1,429.008
164,0,431.508
165,1,456.358
166,0,456.508
167,2,457.475
168,1,458.025
169,2,458.042
170,1,458.508
171,2,462.692
172,0,463.008
173,1,464.508
174,2,467.542
175,1,467.925
176,2,468.508
177,0,468.742
178,1,469.008
179,2,474.508
180,1,480.658
181,0,481.008
182,2,484.008
183,1,484.508
184,0,485.508
185,2,486.008
186,1,491.008
187,0,491.508
188,1,493.008
189,0,493.808
190,2,494.008
191,1,511.025
192,0,511.508
193,2,512.008
194,0,512.508
195,1,513.508
196,2,514.008
197,1,514.692
198,0,515.508
199,1,524.792
200,0,525.508
201,1,529.008
202,0,532.508
203,1,533.008
204,0,534.008
205,1,535.242
206,0,535.508
207,1,543.425
208,0,544.508
209,1,553.192
210,2,553.325
211,1,555.508
212,0,557.008
213,1,558.508
214,0,561.008
215,2,561.508
216,1,562.008
217,2,566.008
218,1,566.508
219,2,570.625
220,1,580.658
221,0,588.675
222,2,589.408
223,0,593.008
224,1,598.275
225,0,598.392
226,2,599.508
227,1,606.008
228,2,611.508
229,0,612.008
230,1,618.508
231,2,619.008
232,1,625.842
233,2,636.508
234,0,638.875
235,2,642.508
236,1,643.008
237,2,644.008
238,1,645.008
239,0,646.908
240,2,647.508
241,0,647.625
242,2,652.275
243,0,654.008
244,1,660.808
245,2,662.008
246,0,689.508
247,1,698.508
248,0,700.008
249,2,700.508
250,0,701.008
251,2,704.508
252,0,711.175
253,2,711.508
254,0,713.008
255,2,713.508
256,0,714.508
257,2,722.508
258,0,725.425
259,2,725.508
260,0,729.008
261,1,731.008
262,0,732.508
263,2,735.008
264,0,735.508
265,2,737.508
266,0,739.458
267,2,740.008
268,1,740.325
269,2,742.508
270,0,742.875
271,1,743.508
272,0,745.008
273,2,746.008
274,0,746.508
275,2,747.008
276,0,748.508
277,2,749.542
278,1,751.508
279,0,752.008
280,1,752.508
281,0,752.625
282,2,753.008
283,1,753.508
284,0,754.008
285,1,758.525
286,2,759.508
287,1,763.575
288,0,764.192
289,1,764.458
290,0,766.008
291,1,766.508
292,2,777.008
293,1,777.208
294,2,779.008
295,1,780.508
296,2,781.708
297,1,783.508
298,2,785.008
299,0,795.008
300,2,800.558
301,0,800.658
302,2,804.008
303,1,809.008
304,2,813.008
305,0,814.692
306,1,815.008
307,2,815.508
308,1,816.008
309,0,819.008
310,2,820.008
311,0,820.508
312,2,823.508
313,0,825.842
314,2,825.975
315,0,826.742
316,2,830.442
317,0,831.458
318,2,831.508
319,0,834.058
320,2,837.008
321,0,837.508
322,2,838.508
323,0,839.442
324,2,840.508
325,0,841.008
326,2,856.508
327,1,857.008
328,0,857.242
329,2,857.558
330,1,859.675
331,0,860.358
332,1,861.008
333,2,867.508
334,0,868.008
335,1,870.008
336,0,870.692
337,2,872.158
338,0,873.508
339,1,878.208
340,2,883.658
341,0,885.008
342,2,885.308
343,0,886.008
344,2,887.508
345,0,887.508
346,2,914.508
347,1,915.008
348,0,923.008
349,1,923.292
350,0,924.008
351,1,928.042
352,2,930.408
353,1,937.008
354,2,937.508
355,0,939.508
356,1,942.358
357,0,942.508
358,1,956.008
359,0,956.508
360,1,958.508
361,0,963.508
362,1,964.008
363,0,965.008
364,1,967.008
365,0,975.508
366,1,975.692
367,0,977.508
368,2,978.508
369,0,987.008
370,1,994.008
371,0,995.875
372,2,996.008
373,1,1014.142
374,0,1014.508
375,1,1015.192
376,0,1015.508
377,2,1017.508
378,1,1019.142
379,2,1022.508
380,1,1023.508
381,0,1024.008
382,2,1024.508
383,0,1028.008
384,1,1028.508
385,2,1029.008
386,0,1040.958
387,2,1041.508
388,0,1046.508
389,1,1058.508
390,0,1063.508
391,1,1070.708
392,2,1070.858
393,1,1070.975
394,0,1078.508
395,2,1085.508
396,0,1088.508
397,2,1089.008
398,0,1094.508
399,2,1103.392
400,0,1104.008
401,1,1104.875
402,2,1105.008
403,0,1106.008
404,2,1106.508
405,1,1107.008
406,0,1108.508
407,2,1108.608
408,1,1110.008
409,0,1111.008
410,2,1111.658
411,1,1112.008
412,0,1112.508
413,1,1113.508
414,2,1115.008
415,1,1115.508
416,2,1149.625
417,0,1157.008
418,2,1160.258
419,0,1160.508
420,2,1161.008
421,0,1164.508
422,2,1165.508
423,0,1169.192
424,1,1169.525
425,0,1174.092
426,2,1189.525
427,0,1190.008
428,2,1199.008
429,0,1199.508
430,2,1202.508
431,0,1203.008
432,1,1203.508
433,0,1206.808
434,2,1219.225
435,1,1224.508
436,2,1228.225
437,1,1229.008
438,0,1230.008
439,1,1230.508
440,0,1233.508
441,2,1234.508
442,0,1235.008
443,2,1236.508
444,0,1237.008
445,2,1237.508
446,0,1238.008
447,2,1248.008
448,0,1249.458
449,1,1250.508
450,0,1251.775
451,2,1252.008
452,3,1252.508
453,2,1255.008
454,1,1255.508
455,0,1256.008
456,2,1256.125
457,0,1256.975
458,1,1257.008
459,2,1257.508
460,3,1258.508
461,2,1261.008
462,0,1262.508
463,2,1277.342
464,1,1278.092
465,2,1280.508
466,1,1281.508
467,0,1282.358
468,2,1283.008
469,0,1284.142
470,1,1287.508
471,0,1290.125
472,1,1290.508
473,2,1293.658
474,0,1297.208
475,1,1297.225
476,2,1297.458
477,0,1297.508
478,2,1299.108
479,0,1300.008
480,1,1304.508
481,0,1310.508
482,2,1311.508
483,3,1314.508
484,0,1338.108
485,2,1351.508
486,1,1351.508
487,3,1352.008
488,0,1358.508
489,2,1364.508
490,0,1365.875
491,2,1373.842
492,0,1374.008
493,3,1376.008
494,2,1378.008
495,0,1380.508
496,2,1387.325
497,0,1391.008
498,3,1392.108
499,0,1399.008
500,2,1407.508
