,speaker,endAt
0,0,31.508
1,1,45.392
2,0,46.008
3,1,50.008
4,0,51.008
5,1,59.958
6,0,60.508
7,1,65.375
8,0,65.425
9,1,67.142
10,0,68.008
11,1,80.642
12,0,82.008
13,1,89.825
14,0,90.175
15,1,97.858
16,0,99.008
17,1,105.508
18,0,106.008
19,1,115.708
20,0,126.192
21,1,126.225
22,0,128.008
23,1,130.292
24,0,130.458
25,1,132.375
26,0,134.908
27,1,136.508
28,2,137.308
29,1,138.092
30,0,140.358
31,1,145.508
32,2,148.008
33,3,152.008
34,1,153.675
35,0,155.825
36,2,156.008
37,1,160.008
38,2,161.008
39,1,169.008
40,2,170.975
41,1,171.008
42,0,171.508
43,1,172.508
44,0,173.325
45,1,173.508
46,3,173.508
47,1,174.008
48,0,184.008
49,1,185.008
50,2,187.325
51,0,188.508
52,1,191.008
53,0,191.508
54,2,192.008
55,3,192.508
56,2,193.008
57,1,193.508
58,0,194.408
59,2,194.508
60,0,196.008
61,1,196.942
62,0,200.008
63,2,200.508
64,1,200.875
65,2,208.508
66,1,209.008
67,2,210.008
68,1,214.008
69,0,214.708
70,1,216.008
71,2,219.658
72,3,226.008
73,2,226.242
74,3,226.942
75,0,227.208
76,2,228.008
77,3,228.008
78,1,228.475
79,3,228.508
80,2,228.508
81,0,229.008
82,1,229.508
83,2,231.008
84,0,231.508
85,2,232.008
86,3,232.658
87,0,236.975
88,3,238.008
89,1,241.942
90,3,242.008
91,0,242.508
92,2,243.008
93,1,243.508
94,0,248.508
95,3,248.608
96,2,249.508
97,3,251.008
98,1,251.608
99,2,252.008
100,1,258.075
101,2,258.125
102,1,258.508
103,2,259.008
104,1,263.008
105,2,265.142
106,3,265.508
107,1,265.958
108,2,266.008
109,0,266.508
110,2,267.008
111,0,267.508
112,1,269.008
113,2,270.808
114,3,271.508
115,2,272.408
116,3,272.508
117,2,274.508
118,3,275.008
119,2,276.508
120,1,282.008
121,0,283.508
122,3,284.008
123,2,284.508
124,3,285.508
125,2,286.008
126,1,290.925
127,0,291.508
128,2,292.142
129,0,294.008
130,1,294.508
131,2,298.508
132,1,299.008
133,2,301.008
134,1,304.008
135,2,305.008
136,1,305.392
137,2,307.075
138,1,307.408
139,2,308.008
140,3,311.508
141,2,315.008
142,3,316.942
143,2,317.108
144,3,318.008
145,2,318.508
146,3,319.508
147,2,325.008
148,1,330.508
149,3,333.008
150,2,333.508
151,1,340.008
152,0,340.508
153,1,342.242
154,2,343.508
155,0,343.675
156,1,347.508
157,2,348.008
158,0,348.508
159,2,349.675
160,0,357.008
161,1,357.508
162,2,358.358
163,0,358.508
164,1,358.958
165,2,359.008
166,0,360.642
167,2,365.508
168,3,366.708
169,2,370.508
170,3,372.008
171,2,372.508
172,3,374.508
173,1,378.508
174,3,380.008
175,2,380.092
176,3,380.508
177,1,381.008
178,2,382.008
179,3,382.458
180,2,383.508
181,1,384.008
182,3,387.008
183,0,387.508
184,2,388.542
185,0,390.008
186,2,390.508
187,1,394.508
188,2,395.158
189,0,395.508
190,1,396.342
191,3,396.508
192,0,398.242
193,1,398.725
194,3,405.642
195,1,406.008
196,2,406.508
197,1,412.508
198,3,413.008
199,1,418.025
200,0,418.508
201,2,419.508
202,1,420.008
203,2,421.508
204,1,426.542
205,3,428.858
206,1,430.508
207,2,431.008
208,0,432.008
209,2,433.442
210,3,435.275
211,2,436.008
212,1,438.092
213,0,438.508
214,2,440.008
215,0,440.508
216,2,441.008
217,0,441.508
218,1,450.508
219,3,450.642
220,2,451.508
221,1,459.325
222,2,459.508
223,0,460.858
224,1,463.158
225,0,469.008
226,1,478.008
227,0,479.008
228,2,479.475
229,1,480.008
230,0,480.175
231,1,481.708
232,3,482.008
233,2,483.008
234,3,483.508
235,1,490.008
236,3,491.008
237,0,493.008
238,1,493.508
239,0,494.642
240,3,496.075
241,1,496.275
242,3,497.008
243,2,497.508
244,1,500.692
245,3,503.008
246,2,504.125
247,1,506.392
248,0,506.775
249,2,508.008
250,0,508.008
251,1,511.508
252,3,516.858
253,1,521.008
254,0,522.508
255,1,523.008
256,0,523.508
257,1,526.508
258,0,533.158
259,3,533.325
260,1,533.508
261,3,534.008
262,1,535.008
263,2,535.508
264,0,536.025
265,1,543.008
266,0,551.375
267,3,552.508
268,1,553.308
269,2,558.792
270,0,559.242
271,1,562.508
272,2,564.508
273,0,568.508
274,1,569.558
275,2,571.508
276,0,572.008
277,1,572.642
278,0,579.875
279,1,583.008
280,3,587.508
281,2,588.008
282,3,588.508
283,1,589.508
284,2,598.008
285,0,601.875
286,3,602.008
287,0,608.508
288,2,609.008
289,0,609.008
290,3,610.125
291,0,610.508
292,2,615.008
293,3,615.692
294,2,620.508
295,3,621.008
296,2,621.858
297,3,622.008
298,2,625.008
299,3,625.008
300,1,627.508
301,3,643.508
302,2,646.008
303,3,647.508
304,2,649.392
305,3,649.508
306,0,650.008
307,3,651.692
308,2,651.842
309,3,656.508
310,2,660.008
311,3,666.508
312,2,667.508
313,1,673.008
314,3,674.175
315,2,675.508
316,3,678.008
317,2,678.558
318,3,680.508
319,2,681.458
320,3,682.008
321,1,682.792
322,2,683.508
323,3,684.508
324,0,684.608
325,1,692.008
326,2,692.508
327,1,693.508
328,3,693.508
329,2,696.008
330,1,697.008
331,2,697.508
332,3,700.008
333,2,703.508
334,1,705.008
335,0,707.508
336,3,711.008
337,2,713.125
338,3,713.358
339,2,713.508
340,3,714.008
341,2,716.508
342,1,731.508
343,2,732.008
344,3,733.508
345,2,736.508
346,1,751.508
347,3,752.008
348,1,773.508
349,2,775.508
350,1,784.592
351,3,785.508
352,0,786.008
353,1,786.508
354,0,802.008
355,1,810.008
356,2,812.508
357,3,813.008
358,2,815.008
359,3,815.508
360,2,819.175
361,3,820.008
362,2,820.508
363,3,834.508
364,2,842.008
365,1,849.192
366,0,853.008
367,1,853.508
368,0,853.625
369,1,856.475
370,0,858.658
371,1,859.508
372,3,860.008
373,1,871.008
374,3,871.442
375,0,871.508
376,3,874.542
377,2,876.358
378,3,877.275
379,0,877.508
380,2,878.008
381,0,881.508
382,1,881.758
383,0,882.008
384,2,882.508
385,1,885.108
386,3,886.008
387,2,894.842
