,speaker,endAt
0,0,36.508
1,1,41.008
2,0,50.858
3,1,52.508
4,0,113.125
5,1,118.075
6,0,118.225
7,1,120.508
8,0,130.075
9,1,133.175
10,0,133.442
11,1,133.508
12,0,134.508
13,1,135.008
14,0,141.008
15,1,141.508
16,0,146.008
17,1,146.458
18,0,147.508
19,1,147.875
20,0,149.008
21,1,149.508
22,0,150.008
23,1,154.625
24,0,156.242
25,1,156.508
26,0,157.008
27,1,158.658
28,0,159.008
29,1,160.008
30,0,163.092
31,1,163.508
32,0,166.008
33,1,169.008
34,0,174.008
35,1,177.875
36,0,182.008
37,1,182.508
38,2,183.008
39,1,184.008
40,2,186.392
41,1,186.508
42,0,187.008
43,1,187.908
44,2,188.008
45,1,188.292
46,2,190.008
47,0,194.092
48,1,194.508
49,0,197.642
50,1,200.542
51,0,201.425
52,1,217.325
53,0,221.508
54,1,227.508
55,0,230.075
56,3,230.508
57,1,234.775
58,0,236.008
59,1,236.625
60,0,237.008
61,2,237.508
62,0,238.008
63,1,247.508
64,0,253.008
65,1,258.025
66,2,259.508
67,1,261.508
68,2,263.008
69,0,263.275
70,1,267.842
71,2,267.958
72,0,270.008
73,1,273.108
74,2,273.508
75,0,274.008
76,2,274.508
77,0,276.508
78,2,276.508
79,1,278.008
80,0,278.508
81,2,288.508
82,0,288.792
83,2,298.008
84,0,298.508
85,2,305.508
86,0,306.508
87,2,307.008
88,0,309.508
89,2,312.508
90,1,313.008
91,0,314.008
92,1,314.508
93,0,315.508
94,2,315.692
95,0,315.825
96,2,316.008
97,0,316.508
98,2,320.508
99,0,322.508
100,2,323.008
101,1,328.008
102,0,330.008
103,2,331.008
104,0,345.142
105,2,346.008
106,1,348.008
107,0,358.508
108,2,368.142
109,0,370.008
110,2,370.508
111,1,371.508
112,0,372.975
113,1,374.008
114,0,381.075
115,3,382.008
116,1,386.008
117,0,387.008
118,1,387.508
119,0,392.008
120,1,392.092
121,0,392.508
122,1,397.708
123,2,398.008
124,0,399.742
125,1,399.775
126,0,400.008
127,1,406.508
128,2,407.508
129,1,408.008
130,2,409.525
131,1,410.008
132,0,418.025
133,2,421.508
134,0,421.508
135,2,423.008
136,0,431.542
137,1,432.008
138,2,433.008
139,0,434.108
140,3,436.658
141,2,437.008
142,0,437.508
143,2,439.008
144,0,441.292
145,2,450.008
146,1,452.008
147,0,459.092
148,2,459.508
149,3,459.858
150,0,461.508
151,1,462.525
152,3,464.508
153,1,467.175
154,0,467.508
155,1,468.008
156,0,468.025
157,2,469.292
158,0,470.008
159,1,472.008
160,2,478.508
161,1,478.875
162,2,479.625
163,3,482.508
164,0,482.592
165,3,486.008
166,2,486.508
167,0,487.008
168,2,488.008
169,0,488.508
170,2,489.008
171,0,495.742
172,1,496.008
173,2,498.008
174,0,498.508
175,2,499.008
176,0,510.508
177,2,511.008
178,0,511.508
179,2,513.508
180,0,513.775
181,2,515.025
182,0,525.508
183,2,526.008
184,0,526.475
185,2,528.508
186,0,529.008
187,2,530.508
188,0,539.508
189,2,540.508
190,3,542.008
191,0,543.008
192,3,545.508
193,0,552.292
194,1,554.008
195,0,555.508
196,3,556.008
197,1,564.392
198,0,572.508
199,3,575.508
200,1,582.225
201,2,588.008
202,0,588.225
203,2,588.375
204,0,593.525
205,2,595.008
206,0,596.508
207,1,599.008
208,0,599.508
209,1,600.008
210,0,600.575
211,1,601.008
212,0,603.858
213,3,604.508
214,0,605.008
215,3,610.275
216,1,613.508
217,0,614.008
218,3,615.508
219,2,615.642
220,0,615.842
221,3,619.608
222,0,620.692
223,3,621.008
224,1,621.008
225,2,624.075
226,1,624.508
227,0,625.008
228,1,625.325
229,2,625.508
230,0,629.508
231,1,634.008
232,0,635.508
233,3,636.192
234,1,636.508
235,3,637.508
236,2,637.925
237,3,641.508
238,0,645.008
239,2,645.508
240,0,646.008
241,3,647.008
242,2,647.008
243,0,647.508
244,3,649.008
245,0,650.175
246,3,650.508
247,0,656.008
248,1,656.042
249,0,657.508
250,2,660.008
251,0,681.825
252,3,682.008
253,1,682.508
