,speaker,endAt
0,0,29.008
1,1,29.508
2,0,30.008
3,1,44.925
4,0,49.008
5,1,52.508
6,0,61.508
7,1,71.025
8,0,75.008
9,1,84.408
10,0,88.508
11,1,101.275
12,0,106.508
13,1,107.008
14,0,107.508
15,1,108.742
16,0,113.508
17,1,114.008
18,0,150.008
19,1,152.008
20,0,155.508
21,1,157.425
22,0,157.508
23,2,158.508
24,0,159.008
25,2,161.008
26,0,175.008
27,2,175.475
28,0,179.008
29,1,179.508
30,2,180.008
31,0,188.508
32,2,189.008
33,0,192.858
34,2,193.008
35,0,193.075
36,2,197.025
37,1,197.142
38,0,197.508
39,2,198.008
40,0,200.508
41,2,203.508
42,0,206.508
43,2,232.508
44,1,232.975
45,0,234.008
46,1,236.508
47,0,246.508
48,2,249.508
49,0,258.142
50,2,258.508
51,1,259.458
52,0,260.008
53,2,260.892
54,0,274.375
55,2,274.408
56,0,290.508
57,2,290.592
58,0,290.908
59,2,293.508
60,0,299.642
61,2,301.008
62,0,302.008
63,2,302.508
64,1,304.092
65,2,304.475
66,0,314.058
67,2,314.942
68,0,318.008
69,2,319.008
70,0,319.508
71,2,332.125
72,0,336.008
73,2,339.508
74,0,339.508
75,2,340.008
76,0,341.008
77,2,341.508
78,0,351.508
79,2,353.858
80,1,355.475
81,2,358.008
82,0,359.008
83,2,359.442
84,0,361.342
85,2,361.425
86,1,361.508
87,0,390.025
88,2,392.275
89,1,392.508
90,0,412.508
91,2,417.092
92,0,417.175
93,2,423.008
94,1,423.508
95,2,424.008
96,0,425.008
97,2,425.508
98,0,433.508
99,2,435.508
100,1,436.008
101,0,437.008
102,1,438.508
103,0,438.708
104,1,440.508
105,2,442.158
106,0,442.508
107,2,443.292
108,1,446.008
109,0,449.508
110,2,450.008
111,1,451.008
112,0,451.708
113,2,452.008
114,1,454.275
115,2,454.975
116,1,455.475
117,2,456.008
118,1,456.508
119,2,458.508
120,0,459.008
121,1,460.175
122,0,461.258
123,2,463.008
124,1,468.058
125,0,468.292
126,1,470.508
127,0,479.508
128,2,480.508
129,1,487.375
130,0,488.508
131,1,488.508
132,0,488.792
133,1,496.508
134,0,497.008
135,2,497.508
136,1,500.875
137,2,501.508
138,0,504.008
139,2,504.142
140,0,514.008
141,1,514.108
142,2,517.008
143,0,517.008
144,1,518.008
145,2,518.508
146,0,520.008
147,2,520.508
148,1,520.875
149,2,522.008
150,0,527.658
151,2,529.508
152,1,537.625
153,2,540.008
154,0,543.008
155,2,544.508
156,0,547.508
157,1,548.008
158,0,551.008
159,1,556.008
160,0,556.508
161,2,558.092
162,1,560.142
163,2,564.508
164,0,570.358
165,1,570.508
166,2,571.008
167,0,574.508
168,2,574.892
169,0,576.508
170,2,578.008
171,0,585.508
172,2,586.008
173,0,586.508
174,1,587.008
175,0,587.508
176,1,588.725
177,2,589.008
178,0,590.508
179,1,590.592
180,0,596.008
181,1,596.308
182,0,597.508
183,1,598.008
184,0,598.508
185,1,606.008
186,0,606.292
187,1,606.342
