,speaker,endAt
0,0,45.508
1,1,52.008
2,0,56.508
3,1,59.508
4,0,61.008
5,1,63.508
6,0,69.108
7,1,77.508
8,0,86.008
9,1,89.792
10,0,91.008
11,1,91.508
12,0,114.958
13,1,117.508
14,0,119.508
15,1,120.525
16,0,122.008
17,1,126.008
18,0,126.508
19,1,147.008
20,0,149.508
21,1,155.508
22,0,157.508
23,1,157.542
24,0,159.508
25,1,164.508
26,0,167.892
27,1,168.275
28,0,168.508
29,1,176.092
30,0,179.775
31,1,179.925
32,0,180.508
33,1,181.508
34,0,182.508
35,2,183.008
36,0,185.008
37,1,193.658
38,2,194.008
39,0,195.142
40,1,197.225
41,0,198.008
42,1,201.508
43,0,202.008
44,1,203.508
45,0,207.325
46,1,207.508
47,2,208.008
48,1,208.508
49,0,210.008
50,1,211.508
51,2,213.142
52,0,213.508
53,2,214.508
54,0,215.508
55,2,216.008
56,0,226.008
57,1,228.008
58,0,228.475
59,1,230.508
60,2,231.008
61,0,247.008
62,2,247.008
63,0,248.008
64,1,248.508
65,0,249.508
66,2,251.508
67,0,252.008
68,2,256.508
69,1,264.925
70,0,267.508
71,2,270.508
72,1,281.142
73,2,283.792
74,1,283.875
75,2,287.508
76,1,297.008
77,2,297.508
78,1,300.558
79,0,301.008
80,2,303.575
81,1,303.625
82,2,304.008
83,1,305.008
84,2,305.408
85,1,306.008
86,2,308.008
87,1,308.508
88,2,313.008
89,0,314.008
90,1,315.008
91,2,316.008
92,1,316.508
93,0,317.008
94,2,318.008
95,1,320.008
96,0,321.142
97,1,324.008
98,2,325.025
99,1,325.692
100,2,327.508
101,1,328.008
102,2,330.508
103,1,332.825
104,2,338.075
105,0,340.508
106,1,341.008
107,2,341.508
108,1,342.192
109,2,342.508
110,1,346.008
111,2,349.008
112,1,350.808
113,2,352.142
114,1,352.508
115,2,352.742
116,1,354.008
117,0,354.508
118,2,356.508
119,1,368.008
120,2,370.508
121,1,371.508
122,2,372.008
123,0,372.508
124,2,373.508
125,1,374.508
126,2,375.508
127,1,377.008
128,2,379.508
129,0,381.508
130,2,382.508
131,0,383.508
132,1,384.008
133,2,384.792
134,0,385.008
135,2,389.542
136,1,390.208
137,0,391.175
138,1,396.508
139,2,399.008
140,1,401.008
141,2,403.508
142,0,406.175
143,2,407.008
144,1,409.542
145,2,410.008
146,1,415.275
147,0,416.675
148,1,418.508
149,2,424.008
150,0,426.058
151,1,426.508
152,0,426.925
153,2,427.192
154,1,428.008
155,0,428.508
156,1,429.008
157,0,430.125
158,2,431.508
159,0,436.508
160,1,438.975
161,0,439.358
162,1,440.008
163,2,444.508
164,0,456.892
165,2,461.008
166,0,462.008
167,1,463.425
168,0,464.775
169,2,464.975
170,0,466.008
171,2,473.508
172,0,474.008
173,2,477.508
174,1,477.508
175,0,479.008
176,2,479.508
177,1,482.008
178,2,484.508
179,0,485.075
180,2,485.508
181,1,490.508
182,2,500.008
183,0,500.508
184,2,501.008
185,1,503.008
186,0,504.008
187,2,505.508
188,0,506.008
189,2,507.508
190,1,512.508
191,2,513.508
192,1,516.408
193,2,520.508
194,1,522.008
195,2,527.692
196,1,528.508
197,2,528.792
