,speaker,endAt
0,0,41.425
1,1,45.008
2,0,47.558
3,1,52.008
4,0,52.508
5,1,55.508
6,0,58.258
7,1,58.508
8,0,62.008
9,1,65.008
10,0,72.258
11,1,72.475
12,0,76.575
13,1,80.008
14,0,91.508
15,1,94.008
16,2,101.575
17,1,102.008
18,0,104.008
19,2,113.508
20,0,118.342
21,2,119.242
22,0,119.808
23,2,120.008
24,0,120.508
25,2,124.375
26,1,129.508
27,0,130.508
28,2,132.508
29,0,133.508
30,1,134.208
31,2,134.675
32,1,139.325
33,2,139.508
34,0,140.008
35,2,143.925
36,0,144.292
37,2,159.008
38,0,160.508
39,2,171.092
40,1,171.508
41,0,172.008
42,1,173.008
43,2,176.008
44,0,180.508
45,1,183.025
46,0,183.092
47,1,183.508
48,0,184.008
49,1,188.925
50,2,191.508
51,0,192.508
52,1,193.508
53,0,194.008
54,1,194.508
55,0,206.008
56,2,206.475
57,1,206.508
58,2,206.642
59,0,207.508
60,2,208.008
61,0,208.508
62,1,208.542
63,0,209.008
64,2,212.658
65,1,213.008
66,0,214.008
67,2,224.092
68,0,225.575
69,2,227.508
70,0,229.008
71,2,240.508
72,0,240.892
73,2,244.008
74,1,244.158
75,2,244.508
76,0,246.408
77,1,246.508
78,2,248.508
79,0,254.008
80,1,257.225
81,2,257.508
82,3,260.792
83,1,266.508
84,0,275.008
85,1,275.408
86,0,275.625
87,1,276.008
88,2,278.775
89,1,280.575
90,2,282.508
91,0,285.125
92,1,285.508
93,2,292.008
94,3,293.508
95,1,294.008
96,3,295.008
97,0,307.508
98,3,311.008
99,1,312.008
100,0,321.358
101,3,323.775
102,2,328.275
103,3,329.008
104,1,329.508
105,3,330.008
106,1,332.008
107,0,332.042
108,3,334.408
109,1,334.508
110,3,334.675
111,1,335.008
112,3,337.008
113,0,337.508
114,1,342.825
115,0,349.008
116,1,352.558
117,0,354.008
118,1,362.008
119,0,362.675
120,1,368.808
121,0,370.392
122,1,374.008
123,0,377.008
124,3,377.508
125,1,380.042
126,3,380.508
127,1,381.008
128,0,386.508
129,1,387.008
130,0,388.508
131,1,392.508
132,0,393.008
133,1,394.008
134,0,394.508
135,1,395.008
136,2,396.508
137,1,398.258
138,2,400.158
139,0,401.825
140,2,403.042
141,1,404.008
142,0,412.392
143,3,412.508
144,1,413.008
145,0,416.508
146,3,416.975
147,0,418.258
148,3,418.508
149,0,423.008
150,1,423.508
151,0,424.508
152,1,430.108
153,3,430.475
154,1,432.008
155,2,434.508
156,0,445.508
157,1,446.008
158,2,452.008
159,1,452.508
160,0,456.108
161,1,457.508
162,0,460.242
163,2,464.942
164,3,465.942
165,1,466.008
166,0,472.825
167,1,472.892
168,0,476.508
169,1,481.508
170,0,484.008
171,3,486.525
172,0,490.008
173,3,492.508
174,1,493.008
175,3,496.508
176,0,500.692
177,3,500.958
178,0,501.008
179,3,502.308
180,0,504.008
181,3,507.508
182,0,515.008
183,3,518.292
184,1,518.508
185,0,519.858
186,3,519.908
187,0,521.175
188,1,521.508
189,2,526.908
190,3,527.008
191,1,527.508
192,2,527.692
193,1,532.125
194,0,532.508
195,1,533.008
196,0,533.508
197,1,534.008
198,2,535.408
199,0,537.542
200,1,538.008
201,0,544.008
202,3,544.375
203,0,545.008
204,3,546.508
205,0,547.508
206,3,552.825
207,0,553.508
208,1,576.208
209,0,576.508
210,3,577.508
211,0,580.008
212,2,588.008
213,0,590.508
214,2,600.508
215,0,605.508
216,1,611.008
217,3,611.108
218,1,614.508
219,0,615.008
220,3,616.342
221,1,617.008
222,0,618.075
223,2,619.325
224,1,620.008
225,2,621.008
226,1,622.142
227,0,623.008
228,2,624.158
229,1,628.042
230,0,629.542
231,2,631.508
232,1,633.575
233,3,634.508
234,0,639.008
235,1,647.342
236,3,647.508
237,1,648.225
238,3,648.508
239,1,648.842
240,0,650.508
241,2,662.008
242,0,664.008
243,2,667.292
244,0,667.458
245,2,670.142
246,1,670.508
247,2,673.308
248,1,674.408
249,2,674.475
250,1,674.508
251,2,675.508
252,0,676.792
253,1,679.275
254,0,679.508
255,1,679.625
256,0,680.508
257,2,681.225
258,1,682.008
259,2,683.008
260,0,684.508
261,2,685.008
262,0,688.508
263,2,691.008
264,0,692.758
265,2,694.508
266,1,695.508
267,0,696.008
268,1,696.508
269,0,697.008
270,1,700.608
