,speaker,endAt
0,0,50.008
1,1,58.008
2,0,66.508
3,1,68.008
4,0,80.092
5,1,84.008
6,0,98.108
7,1,99.775
8,0,108.508
9,1,109.508
10,0,113.008
11,1,113.508
12,0,114.158
13,1,116.508
14,0,120.575
15,1,120.742
16,0,121.008
17,1,122.008
18,0,130.275
19,1,144.908
20,0,145.008
21,1,145.508
22,0,146.008
23,1,151.308
24,0,152.008
25,1,152.508
26,0,153.008
27,1,159.608
28,0,167.508
29,1,179.508
30,0,182.008
31,1,183.008
32,0,189.008
33,1,189.625
34,0,193.892
35,1,220.758
36,0,223.708
37,1,224.008
38,0,224.325
39,1,228.008
40,0,229.008
41,1,237.025
42,0,238.442
43,1,242.508
44,0,244.875
45,1,246.008
46,0,246.508
47,1,249.258
48,0,251.508
49,1,256.008
50,0,259.575
51,2,260.008
52,1,261.242
53,2,262.508
54,0,266.358
55,1,266.508
56,0,269.508
57,1,274.008
58,0,283.008
59,1,286.742
60,0,287.508
61,2,288.892
62,1,302.008
63,2,303.125
64,1,310.292
65,2,310.875
66,1,320.125
67,0,327.158
68,2,328.508
69,1,329.675
70,2,333.008
71,1,333.508
72,0,334.008
73,2,334.508
74,1,343.275
75,0,358.175
76,1,358.508
77,2,359.508
78,1,360.508
79,2,361.008
80,0,363.508
81,2,364.008
82,1,365.225
83,0,365.775
84,1,366.275
85,0,366.775
86,1,368.008
87,0,379.508
88,2,380.508
89,1,384.508
90,0,385.008
91,1,386.775
92,0,387.508
93,1,395.508
94,0,395.942
95,1,399.508
96,0,400.008
97,2,400.508
98,1,402.008
99,0,403.008
100,1,403.258
101,0,403.508
102,1,410.008
103,0,415.508
104,1,415.675
105,0,420.008
106,1,420.508
107,0,421.008
108,1,421.275
109,0,421.508
110,1,423.508
111,0,423.942
112,1,424.508
113,0,429.008
114,1,430.508
115,0,431.008
116,1,432.008
117,0,436.008
118,1,436.508
119,0,438.892
120,2,439.008
121,0,439.508
122,1,440.508
123,0,442.708
124,1,444.508
125,0,445.508
126,1,446.675
127,0,449.008
128,1,454.508
129,0,460.508
130,2,460.508
131,0,461.008
132,1,461.508
133,0,462.508
134,1,466.558
135,2,467.008
136,1,470.008
137,0,471.508
138,1,472.008
139,0,473.142
140,1,474.642
141,0,475.508
142,1,476.008
143,0,476.508
144,1,477.008
145,2,478.508
